SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144,SHIR FPGA 524288
409632,499685,527047,592358,841110,1353926,2478897,4836552,9737838,19462252,89325578,294762794,354479252,685876093,1337543601
393606,521380,526306,594261,882615,1372050,8519343,5540662,11034149,19211625,88819118,295431325,356188620,684115656,1345032794
412203,530784,531343,591245,840588,1334541,3098482,4915646,9790834,19330217,88931328,293990400,348273498,685064994,1333084343
391071,535525,550373,596411,837337,1398328,2443863,4802635,10333040,19394774,88787376,296109289,347202339,686383893,1343435741
408086,515397,530967,607938,817250,1434786,2475786,4726329,10578889,19448545,89168388,296453061,349804254,685222920,1337233889
391084,520535,528069,592393,839191,1399684,2404748,4627748,9757272,19423613,88631689,294656985,349059840,687642490,1344964005
398310,517053,529260,586187,818094,1364302,2385341,4637494,10914095,19533706,88875730,294471131,354602798,685523159,1337536050
394073,521554,516228,577884,848610,1364058,2975863,4567517,9763497,19558000,89119562,294623713,354678685,685744211,1347226170
402826,534260,508843,625639,816780,1410637,2419066,4577239,10046878,19491223,88645138,296902920,351500805,684939355,1330040844
393461,535833,604687,583343,828357,1428885,2519859,4487691,10767109,19421785,88419900,295586460,351288531,686482814,1337693685
391998,493710,564582,619140,833606,1391209,2487355,4536523,9833727,19328661,88961495,295466138,351853104,683935783,1327617978
386648,483226,558885,618319,849742,1419887,2429670,4568458,10473310,19377091,88641048,294235288,351660043,685909031,1339797806
395089,499823,544781,624600,839466,1378027,3093166,4600932,10526480,19494709,88850405,295996037,352563559,683137053,1353258882
400900,542870,540505,615189,869740,1392573,2449807,4544574,9757182,19371619,88570068,299070501,353643814,687894881,1329735937
391125,515823,537791,620648,848195,1402696,2478932,4666161,10595066,19235465,92618916,297347636,352185644,683937333,1334570612
403589,504208,560889,609650,856110,1391906,2455650,4614121,9837569,19301038,88828823,312763550,355041438,685921984,1344045996
378188,518087,536259,597272,841396,1352297,2443449,4573731,9857279,19447423,88770603,297961207,352712145,686028110,1340622038
387994,500387,487353,582366,847413,1356171,2957797,4518443,10650673,19507596,88705302,335408872,353214601,684190141,1336803571
391228,501474,483589,580059,853121,1309846,2737041,4629414,9720093,19329582,89435101,297504652,355656355,685442715,1337039349
398746,530064,484975,599995,878515,1285687,2779450,4569728,10536868,19283669,89353065,293787890,355729997,686384587,1336885613
389304,496667,549777,611898,849287,1329470,2468926,4571938,10293774,19287402,89102998,318029637,352935913,684669621,1332775881
396815,472828,577894,591035,853873,1287309,2486542,4922227,11310605,19389974,89801324,296148638,352240970,683611785,1336606273
399601,482643,537804,578938,845375,1326982,3089321,4907911,10620572,19415760,89495435,296520045,352581826,683724632,1327606702
