SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144,SHIR FPGA 524288
4362092759,4552502813,4357822267,3909474652,4358508929,4056932871,3984972200,3518668665,4654125653,3640281117,4715525022,4994512303,5644391179,6717587324,9502318771
982291,1143741,1463552,1921054,3607383,5611322,19327821,46475804,75010940,151502482,311338380,620561015,1230748433,2452688450,4879100256
755671,956492,1243331,1643587,3045519,5433143,19075080,37569206,74901892,152193184,311247878,617373701,1231404244,2452533287,4872407255
726590,889467,1212980,1611765,2968122,5304869,19315552,37297750,74879006,151352499,310865546,621360701,1231114074,2451696924,4879889058
761958,891879,1130365,1599055,2925368,5159956,18721553,36902120,74811011,151936692,312092173,619786947,1229871595,2453438617,4878263320
687991,896247,1120941,1602030,2860083,5152051,18643944,37496484,74908242,151723310,311146994,620503497,1230400335,2455397377,4876844497
681365,876845,1129821,1573051,2863171,5143916,19586261,38372347,74819748,151758368,311824454,620829300,1230022715,2452683642,4866555658
694423,899235,1110807,1598139,2814173,5038927,18613080,37648816,74867680,151691881,311504241,620161760,1231411891,2453084166,4878505432
697349,868505,1110475,1565617,2795566,5212919,19238871,38070454,74873341,151968422,312523382,620768857,1229985806,2453084861,4875807071
690625,851279,1139740,1572362,2789650,5286781,19361468,38161415,74920735,151773938,312385361,620972759,1231180485,2453784121,4879439109
679362,844683,1104681,1579450,2780341,5194976,18513733,37603078,74774172,151443871,312809133,621170666,1232737414,2451604956,4864203372
697800,836969,1078805,1563417,2764377,5210013,19518810,37994282,74810508,151311755,312276126,620224343,1230514729,2452361135,4875237477
700257,839230,1090444,1549887,2760816,5100127,18539096,37471695,74745099,151646224,312514378,620517715,1230365632,2454771628,4869229513
673089,822439,1085068,1574967,2736602,5058052,18459511,37431922,74855828,151766945,312753284,620024365,1230168849,2451598939,4864245505
693521,803538,1090848,1555437,3077032,5093360,19618227,40470993,74837305,151991101,312638234,621555743,1230125306,2454549717,4876356214
691035,820877,1059791,1549075,2699627,5019789,18747818,36925590,74920915,151627479,312557225,620828700,1230387636,2453681467,4883262047
691732,823198,1057861,1529271,2739934,5039784,19078890,37961346,74872187,152004352,312938597,619612916,1233675849,2455511375,4893079227
667166,816279,1071648,1549353,2693022,5016818,25042989,38302239,74793614,151523466,312276100,620966120,1234823489,2453768499,4882327365
668932,826274,1077108,1540710,2692734,4971586,22388645,37118485,74834652,151925001,312942137,620533879,1233079131,2456033020,4888069575
683638,1560071,1056152,1520590,2654595,4943717,19517822,37947576,74818766,151716809,312664591,620438258,1234343057,2455657485,4883589841
683109,797474,1063234,1531107,2670518,4896354,18738996,37629127,74855775,151871627,312600948,620232610,1234383169,2453047871,4889180128
684268,781484,1029309,1533712,2634279,4940208,18937695,37586607,74836543,151866114,312552316,620672002,1235158510,2452671197,4874163038
622991,774191,1033344,1513384,2635740,5107197,19211744,38054208,74889261,151824724,312981324,620540829,1230693960,2452900481,4868843693
616148,788988,1031097,1518024,2575173,4881828,18603886,37349107,74826308,151686441,312950345,620415230,1234133831,2452845882,4886226163
607979,771888,1052786,1513198,2569578,4879373,19281247,37932186,74942022,151799156,312991601,620105075,1233302530,2453869384,4881923766
638715,794028,1030779,1529555,2561479,4933807,19215856,41208742,74873584,151791935,312496289,620802129,1234148865,2454701348,4882433318
618198,766757,1039958,1515788,2552739,4912879,18625037,37319722,74743619,155496758,312619592,621085982,1231041390,2453151710,4889889731
648210,770920,1027403,1509461,2562588,4877666,19352491,37893628,74750380,151956481,313166308,620229002,1232867878,2451789251,4884698098
636423,761802,1027276,1498053,2581009,4895057,19261013,37100515,74728053,151771804,312817486,620606374,1234945696,2454415832,4884720480
630886,783549,1010211,1507553,2549138,4914030,18619041,37055956,74909519,151955474,312670006,621143001,1230761266,2454510685,4875124841
591888,766791,1004907,1492289,2563958,4902294,19230627,38036331,74679846,152219700,313058637,620566890,1233183203,2453985543,4883624772
597392,761869,1006232,1503816,2552235,4877006,19264504,37076371,74771806,151968836,313166932,622134076,1229933729,2453391328,4876365222
587576,766264,996746,1494673,2551162,4877985,18586309,42742054,74799843,151986193,313316038,620691750,1232864426,2453495015,4886969807
592939,756253,994107,1503523,2543999,4901434,19196386,37858009,74897136,151485374,312880062,621740079,1230789072,2454521241,4885930742
607695,737601,997425,1501592,2559831,4850204,19182007,37434892,74711240,152427922,313113219,620645499,1232731766,2453210965,4883560704
625040,733940,991481,1481027,2532298,4857480,18534295,38147247,74812722,152010596,312618556,621812544,1229816096,2452891666,4890650355
590725,731719,991237,1493094,2539745,4790547,19524541,37228400,74745598,152229941,312977644,621109290,1231981925,2453366387,4883539674
592413,733121,989699,1498712,2541356,4781229,19581710,37564202,74815297,151985252,313003277,622179528,1230668293,2454635882,4880780854
610149,750562,987811,1486280,2549768,4822859,18712712,38129968,74723476,152092436,313362363,620823760,1229718325,2452351605,4873414473
605438,747179,988463,1471050,2537965,4804426,19406245,37463338,74792594,152343598,313073677,622226920,1230245051,2454249715,4879843973
579963,752784,988060,1461389,2538147,4824006,19348679,37833624,74649898,152093947,313015833,621363659,1231947995,2452458965,4887596395
590008,718949,982407,1446134,2518945,4828688,18678527,38071721,74781970,152071235,312665793,621864714,1232323155,2453239897,4881642276
583323,726710,988685,1459288,2531942,4829539,19418944,37415034,74654347,152013336,313103845,621133988,1245335265,2454300045,4886625203
587984,726668,965277,1448692,2516987,4809065,19429621,37840524,74831740,152005939,312851591,620641749,1232479339,2452721755,4889640442
584172,726240,966078,1451144,2523275,4792108,18656192,37432720,74828695,152037110,313033142,622007019,1232265019,2453079884,4888030583
574966,728350,966216,1458477,2541743,4824326,19594247,37386920,74873894,152314218,312697650,620876331,1233672820,2453047214,4884050272
571124,718386,970824,1449972,2565827,4824354,19489275,38217297,74735297,152255080,313137557,621762774,1233165530,2453850938,4881090232
571371,720945,960871,1445175,2554879,4803323,18665014,37377416,74756363,152398694,313250360,621291211,1238184253,2454959279,4881676892
568733,743804,960800,1446372,2567095,4804579,19361179,38310213,74691030,152244188,313204424,621705970,1235237483,2454209620,4873865373
582902,742416,969517,1424582,2534173,4813553,19513906,38340741,74770139,152033821,313192361,620180063,1245542009,2453848514,4890873951
547485,733536,963790,1428202,2541433,4811851,18624257,37253521,74781517,152166937,315759155,622133196,1236325577,2455369813,4893778797
552806,725676,953008,1417606,2532757,4798778,19365381,37982200,74800643,151743533,312252692,621286883,1234572825,2453588411,4882098943
548289,726904,961747,1425229,2557386,8207166,19496598,37472457,74769657,152324192,313789465,622256582,1230346505,2455969161,4881532356
548843,737350,951499,1448285,2541487,7559811,18575374,37939836,74818727,151775106,312486852,621660101,1230858733,2454935512,4881099506
553172,709171,956488,1418741,2550016,4816129,19535373,38294654,74744207,152339266,312459410,621837743,1233682393,2454431722,4885648431
563803,712278,943434,1419458,2542625,4865827,18780040,37581562,74766496,151955363,312334692,621399213,1231167396,2454104368,4884183625
559451,716967,942557,1422281,2559478,4860330,18639181,41264991,74964654,152194943,312256294,621325554,1232577256,2454272120,4886689229
562570,709480,939995,1424351,2534140,4863764,18607106,38473938,74817627,152026884,311840821,620508095,1235872320,2454904832,4885754743
559888,709560,933955,1433091,2547777,4859962,18584772,37647386,74706175,151696219,312214820,620737513,1231952691,2454788686,4895252011
575269,710503,915370,1437058,2541485,4882665,18466141,38382358,74880545,151596145,312272952,621397925,1233448196,2454432713,4889976311
542098,702289,916806,1420733,2559093,4864230,18435259,37695951,74816362,152379408,312486321,620677744,1231374335,2454464028,4885200284
548032,701705,906483,1439136,2531034,4900935,18479932,37630912,74790458,151582157,312328898,620674752,1230489767,2457075922,4877039977
541420,717836,929603,1414617,2542920,5008752,18486974,38622938,74783552,152427095,312635156,620397802,1233411957,2453914647,4876442271
535765,699459,882868,1434714,2543010,5042817,18417616,37659342,74819631,151952196,312252766,621980499,1231393943,2455996085,4880011904
531752,711125,878334,1422590,2538975,4951046,18426832,38956689,74941313,151561447,312190491,621267960,1232486443,2455804680,4876908410
548631,706835,877536,1414666,2560764,4851952,18396779,38531592,74910535,151424417,312110214,620647878,1229796023,2456872209,4884170537
543761,699339,881939,1418882,2541191,4824177,18434942,37634399,74901949,152390593,312105504,621123998,1232143051,2455505965,4883437574
538034,715119,888516,1423699,2552227,4926279,18416658,40956382,74865267,151924042,312345303,621025355,1231227678,2456661693,4883512697
530993,691302,880037,1448108,2600786,4908589,18402810,40512454,74715019,151878031,312311888,622147524,1232352681,2456909798,4882874763
538386,693969,873909,1409256,2537541,4833178,18492003,37654980,75003085,151783854,312203295,621540534,1231933029,2457070116,4882617355
532201,680583,878884,1422986,2556533,4846766,18482254,38467791,74883106,151818893,311990087,621129621,1233922411,2455406964,4906287169
540004,702698,876285,1418321,2523127,4832346,18420386,37640633,74896482,151560970,323044197,622151244,1232123639,2456437843,4887046315
532534,724475,883636,1418394,2540350,4856415,18508368,38559509,74942930,151504476,312532701,621506988,1233173261,2456536697,4895157782
533068,729194,873815,1406971,2529186,4856577,18408221,38300188,74863455,151675858,313117806,620177227,1230937190,2454755651,4880786248
528234,675460,883334,1408934,2551921,4837677,18631163,37543662,74941492,151934251,312628040,621258066,1233361192,2455030620,4879581759
537105,669332,873327,1414194,2558110,4856456,18636048,38419473,74835018,151371340,313018915,622000512,1230766136,2454395349,4881646700
542547,662527,887373,1418931,2557639,4924437,18553049,37709046,75084988,152035761,312872306,621335260,1233249266,2455759250,4881522633
544132,673982,872911,1425418,2536335,5048079,18527325,37815219,74988036,151428717,312821657,621112197,1230589944,2455050754,4877449485
553124,661845,884042,1405119,2536542,5012657,18548288,38539330,74945267,151831899,312267943,620145919,1233690549,2454141497,4881492589
537059,666707,872864,1421524,2544335,4878447,18530481,37706840,74989108,151690287,312713726,620650274,1229777372,2454597979,4882533496
541116,665609,873158,1408338,2545376,4867457,18544097,38358195,74903203,151496968,312143449,619283655,1232477963,2455684295,4885786256
517731,674015,879279,1416218,2546525,4882479,18504449,38584079,74990671,151527547,312625007,620266259,1230531325,2455139314,4883889431
509077,673037,866921,1440807,2538491,4868621,18432838,37557643,75043330,151713508,312285185,619682644,1232450302,2452989500,4882232536
516826,657279,868171,1478137,2536948,4884136,18671746,38403899,74783585,152031727,312742861,619492450,1231527588,2452120282,4878169299
504741,647850,870843,1459459,2538608,4841034,18644116,37684187,74779301,152028873,312168794,619419009,1233995636,2452257644,4878543636
515425,661340,869471,1461616,2524643,4838738,18590355,37734627,74860101,151789585,312453986,618451392,1232898901,2455319674,4883870167
527496,670551,861025,1471837,2529976,4892503,18678869,38622902,74851935,151737962,312139613,619076470,1236497107,2450969441,4883802565
519995,650699,861893,1464724,2528937,4915568,18730327,37654240,74789895,151977280,312444353,618728376,1233261597,2451216319,4887200242
533752,659500,875140,1458175,2558036,4903711,18617266,38436547,74691304,152192711,312092677,618868960,1231219169,2451587125,4881637277
510532,643872,856338,1465709,2531710,4947675,18651703,38545456,74739918,152112307,312732503,618373495,1233250061,2452968266,4882807021
501108,657152,877848,1448733,2560826,4907419,18695054,37666299,74740344,152486774,312830094,619426905,1233652516,2451995409,4877435287
514093,674326,863080,1431658,2545135,4900347,18776332,38328525,74796272,152313181,312522423,618218941,1231328811,2450734103,4880148373
510137,647794,869282,1456054,2563047,4867236,18705225,37677214,74831999,152845277,312089591,618631453,1234011404,2451512864,4876925703
494607,628748,872275,1425226,2532099,4887349,18741579,37766697,74850770,151975434,312523935,618589811,1231910893,2453693034,4885829600
491124,641301,876279,1441795,2544447,4884436,18709668,38358928,74795731,151653404,312311763,620052207,1233657957,2451875294,4883410572
500637,695711,872582,1435291,2542470,5054544,19723796,37625619,74794743,151140157,314350748,620098309,1231659690,2451552986,4887002266
496792,715303,863825,1440463,2561151,5063218,18864022,38379343,74656680,151694719,313913732,619110426,1233710541,2451826108,4883373672
507283,654116,875444,1442416,2538680,4991996,19411621,38571138,74907320,151844230,313760953,619599594,1233376749,2453978937,4883883317
