x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144,x86 inductor 524288
328668,401202,619991,387104,397888,701187,2366776,3378955,5926643,10716173,19644537,39113647,69365635,125098503,209737470,429448001
323061,401371,562163,375294,377402,652339,1741449,2921536,5066152,10730205,19457598,39838634,69395834,122476282,216457526,412040655
344775,394626,625655,365509,378662,695154,1034074,2845303,6398984,10752264,19652525,39216725,69093164,121868435,213595099,427989369
320598,391686,569306,384301,398346,684794,2375035,4230011,5904991,10847365,19462128,39995386,68511475,124107848,218907457,427799704
330774,404710,626545,359189,379030,719881,1720793,1942775,7387434,10769250,19589908,39107191,69754906,123317018,218296328,413673446
328612,416241,554575,343231,431472,722097,947345,4263395,7371104,10964984,19621675,40127437,69844577,125002489,215752086,424272274
323374,397035,630859,352946,431930,725809,2276037,2676218,4918396,10871719,19745950,39428741,70249963,122900754,213429405,438608497
332573,416003,580867,354148,389303,731109,1743424,4237124,7284825,10638910,19376941,40143670,69708387,122087286,219593124,432594111
330036,379734,615869,382849,391744,725347,1004005,2806955,5964802,10817273,19991036,39295691,70068311,122303683,215632099,418578100
326514,384483,571143,352667,405128,713297,2396906,2558739,5671627,10687134,19505285,40001361,67804079,122073338,206774351,423176664
338317,398538,626775,376560,368837,708351,1795057,2533672,7188144,10841542,19789999,39076308,70783378,123221092,214826646,429915937
314615,422913,558719,378173,382706,727082,1025231,3890924,6255788,10872269,19550172,39865038,67952148,124392363,214934823,419863591
322837,405787,613566,340685,388482,749908,2398818,1757394,7366341,10836457,19870216,39286789,69376647,124323533,215249085,411712766
323690,407084,576501,350427,376043,712280,1764347,4164302,7486679,10763026,19662612,39942071,70605742,121491921,214828025,432737001
321927,386532,623247,337484,366653,715691,1040876,2747460,4879681,10646876,19884080,39292911,69337356,121249266,210864610,424738292
321872,394908,548031,341250,404680,745013,2388637,4088176,7337290,10674749,19595180,40049318,68195618,123333305,215343204,421309915
317710,400762,556955,365066,485948,748235,1681992,2726562,5913365,10769327,19626624,39283139,70067807,122941816,213582228,427519786
316396,415722,485578,347104,457994,756746,1033622,2655632,5607367,10938398,19583439,39903842,68385498,122741444,213645262,432061236
331174,390954,559896,350822,462433,738438,2351348,2543507,7368323,10829767,19661875,39294119,69930191,124187475,207722732,433369231
313822,405528,490371,370735,420224,761387,1773750,3994293,6197738,10733929,19806940,40021832,68207866,122675353,213425736,418952030
324378,385379,564217,338221,388913,741458,1028590,1860048,8123904,10724440,19732797,39411420,69490706,122758888,216829293,434476674
312011,405510,503752,333813,414104,759665,2322358,4174051,7165608,10808663,19576314,39831890,67929867,121877086,213025614,431570772
