FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144,FP32 inductor 524288
496373,469789,564283,428211,428751,787410,1118773,5318481,7512937,12638719,21839570,38684494,73547783,129601967,217257847,434895165
477982,477011,544930,426623,456511,713275,2419425,2873021,6063825,12472803,21940060,38960960,73216780,131534829,240072861,430557280
510314,467069,545390,439150,451304,788051,1846946,3167475,7754506,12533885,21694325,38929457,73123012,132543141,235964498,454538115
494100,492334,561974,427822,461303,724944,1085879,6267720,5928178,12622598,21968289,39224904,73945927,132712283,229836769,457931648
505380,473069,549955,448358,451647,807436,2259148,3614378,8260241,12277887,21798306,38916759,73347060,133906314,233729146,423010358
500305,479030,550294,448408,450397,778572,1796816,5931570,6067627,12510358,21649210,39003151,73038644,129566202,239322042,430202199
488849,473980,596428,422474,461114,807443,1083554,3145920,5075301,12362519,21730035,39231657,73156507,127048420,225875384,439477655
508475,465982,553287,421161,473183,714656,2265474,3148429,7327788,12335107,21710339,39147438,72913131,130258250,241696467,436522222
503703,467609,520389,424163,436781,760517,1796631,5611378,5946507,12457685,21481797,39241751,73190291,131700727,234733991,430052012
504500,478088,516504,424548,454594,785210,1120491,3046861,7346322,12369695,21802159,39264154,72931278,129616789,215694930,436136308
497948,462095,486103,425872,459804,795979,2230789,5503410,5921067,12291742,21626116,39016509,73604408,134661774,219842030,438365736
492985,448213,639313,414108,470170,750957,1822543,2816713,7267759,12274919,21674329,39023330,73295724,133159121,229029425,434494003
497597,443998,600105,431664,437340,740632,1098914,2873559,5976800,12476144,21678127,39366330,73809294,131879082,237054866,438501088
495671,447681,597860,424940,459811,723446,2260350,5177006,5732095,12421363,22184036,39013477,73724253,131479843,218745982,442474206
509188,445750,538768,393108,440261,773454,1785085,2810363,6344072,12301570,21612020,39089491,73381524,134884146,238607663,442184108
497007,438564,507209,423484,464894,790566,1096440,5201848,5892738,12492912,21731694,39148961,73182976,133517602,230335536,441142855
492696,444516,490449,412649,508630,717852,2323787,2677950,7328409,12436170,21624181,39013329,74152162,132638023,232390082,445364371
502638,449007,512122,410500,500940,738095,1780520,2693644,5953052,12484023,21721272,39100480,73536917,132804701,221714865,446799092
474225,445801,532649,417703,509398,796186,1070426,5033493,8011417,12314516,21558372,39237486,73958633,132632356,234142911,432641278
482243,459935,499855,393245,531778,705396,2204032,2836690,6016520,12439107,21723572,39089815,70116880,132877111,228303213,446387197
481354,449451,506127,418080,515300,780005,1821273,5221035,5834061,12419167,21617200,39013154,74165594,132871822,232780165,445219363
487622,460860,507043,417504,532793,795314,1074912,2702821,7351099,12326788,21643362,39234659,74261267,129608511,237453448,430331545
495540,436559,508361,409638,475019,740936,2281408,2749010,5855617,12226266,21621336,39111917,73945449,132033712,227841301,437747074
482945,448821,509330,416245,467251,794183,1795122,5065432,7314091,12369001,21751072,39190368,73914738,131851432,237910763,437216837
478290,444166,497125,418496,456947,709154,1099274,2801403,5810628,12316951,21490008,38883342,74130715,130195729,223451690,438540716
479834,441544,493875,410040,486796,761741,2216842,5231697,7332815,12175343,21650697,39291873,74074896,130034801,235806549,426945114
476890,438293,492495,436995,466482,783735,1806692,2695628,5981790,12344454,21693157,39294419,74128814,129998156,233671377,436373724
493180,445559,511095,424240,476252,784014,1070687,2709005,8193367,12218638,21517619,39292259,74058678,133735127,233128102,418881280
458833,479913,474374,415192,475523,745573,2295326,5089239,6024766,12244083,21425866,39257938,73798006,133184560,232874977,413854336
477805,451546,483616,420012,479662,729640,1804439,2917924,5856147,12385503,21619030,39323571,73933210,131883163,235586201,436081359
471909,447514,482530,435154,447501,801678,1088624,5236128,7403427,12115122,21479090,39060012,73923121,133201201,238466688,438647963
470106,467598,477348,429063,488572,746478,2272871,2699026,5958257,12280617,21728441,39618944,73686522,132517546,218044721,439964805
457670,437760,470602,427038,469662,720741,1799569,2930856,8318607,12383524,21950292,39156713,73778149,133115825,234782135,409138192
476331,454677,471548,419327,441556,766684,1074978,5261443,5988823,12548840,21911203,39000579,74167079,133474132,235259109,433397364
468458,429352,457221,434715,465530,771089,2236105,3004494,7695382,12736533,21646520,39123515,75143562,133242258,236162640,440231633
446152,429409,463054,421634,451182,732165,1796764,5326231,5990562,12442775,21676013,39273219,74011006,132545120,236695070,423136325
455310,428060,471212,448806,441460,706301,1088724,2986102,4495898,12538388,21870740,39268259,73965880,134641498,236949003,425970283
458126,432899,441535,429200,433114,719447,2268708,3860705,6549780,12512612,21962635,39230292,74453429,133369089,231844204,438439394
