b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
32000,41804,54295,46309,43310,47516,50508,100358,178433,536095,1005520,2933034,5521560,21622935,21963697,38754124
44310,41738,62420,47220,43070,54444,46032,98272,168757,563040,1003267,2908462,5493763,22721324,22462459,39764683
31863,42034,56468,38003,51330,49829,79591,92910,199468,542916,968751,2906815,5473725,17724568,22295003,39698188
29993,42195,62257,39038,44680,48073,60008,79377,266337,530624,985007,2942987,5510920,22870396,22278362,38821014
29990,41765,57424,37092,44556,50683,58732,129028,207894,563663,1065254,2977917,5506868,18941027,22895026,44029182
30240,42073,54140,38052,41360,48827,55887,141535,182485,544414,996943,2926665,5543003,22710340,23899370,39884806
37971,41825,52144,38742,41685,49365,46930,171842,202249,558367,985316,2957872,5473905,17401035,22906594,39394764
30484,39643,63225,37313,42301,49263,59318,100831,180065,548088,1002449,2927441,5454497,22876110,22785041,42717414
30679,40288,53317,37318,44210,49015,46595,101690,207029,563044,989491,2919215,5523313,19810098,22350732,43042312
30194,39904,52785,38226,47028,53952,53709,118222,260409,522250,1006002,2922342,5479896,22257266,22588534,39399852
30316,40060,51424,36689,43888,59635,48889,100085,220887,514192,1004411,2969526,5568809,20370137,22546189,44021413
30534,40185,52628,39996,45102,53718,57319,119628,199640,529128,1014753,2915123,5619517,22150703,22485747,43373808
29868,40702,53650,38114,41875,42858,43574,130386,197525,538301,1009623,2917201,5639896,20254541,22479115,41905562
31281,39751,49974,38527,45013,42042,67038,139957,261097,521582,1018204,2953400,5730083,22478933,22471869,41780550
31358,39834,52799,39203,45448,47936,61083,164755,230091,515826,1019323,2906820,5746018,20089758,23033405,39544986
30936,40122,53552,38784,44912,42076,59475,150462,205103,538708,1021118,2949939,5718932,22156178,23128693,42912267
28633,40327,39717,43866,44291,48934,54462,137531,200362,551121,1009089,3933585,5733154,19927203,22906732,43115140
28749,38881,37446,38025,44099,89529,54799,120147,222088,553740,1012187,2937887,5761476,22170478,22703733,42289037
28713,38545,40239,36965,41847,47113,53844,115575,160388,528020,1010247,2947075,5754833,20145986,22852867,42485827
28811,38157,37756,37471,43291,43675,57049,126597,165388,519880,1026093,2915201,5679268,22337669,22763107,42671858
28928,38351,36576,37411,41405,43006,54385,148128,223436,513749,1011987,2920939,5687852,20145880,22750716,42651276
28830,38083,36862,41585,42829,42347,58346,151636,240311,518652,1005413,2925801,5700166,22129359,22754861,42113251
28193,38451,37343,38169,42544,41673,60772,126215,222596,559491,1012439,2930255,5665533,18032507,22963804,42344392
29152,38594,44268,42156,45214,42822,51994,129414,172230,534442,1010840,2967739,5726364,22836048,22651992,42664963
28922,38636,37516,38076,44234,49790,52089,128129,162752,519499,996159,2931216,5711784,17594232,22804416,42928392
28452,38262,31144,39342,45573,42063,62176,103410,197880,519941,1010415,2910753,5829060,22971656,22889141,42913397
