b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
25473,24843,22865,17618,18202,18458,23429,48639,76427,167442,224575,396824,830855,1642915,2887869,7318347
26309,25394,23316,17274,17929,19852,31641,57331,69527,158473,225333,409308,835338,1907984,2912481,5953205
25947,24453,23405,17710,18135,18443,20451,49123,71378,157567,233630,401720,814491,1698568,3024297,7019928
25892,24214,22120,17835,17974,18479,18582,70101,68428,164357,227474,404607,814337,1726554,3870935,5897923
29723,23571,22350,17601,17984,18813,19394,66575,83633,159896,228211,401433,803296,1706289,3685438,6775784
33768,23240,22360,17679,17620,18495,20043,76516,93059,163370,224364,396822,803642,1804954,2871707,5828768
25086,23712,22818,17714,18015,20388,18260,81422,72489,162545,223636,394812,813922,1482274,2873166,7420688
25510,23283,22178,17485,19080,20268,20500,70098,67923,171385,346894,402564,808096,1519029,2867953,5964320
29817,23216,32376,18025,18136,17664,18266,81888,72911,159285,322385,402736,799976,1488466,2868089,6589197
26924,24582,22656,17743,19154,17771,18468,80396,69359,175739,265297,401838,804320,1557132,2892128,5778667
25829,23490,22667,17840,18639,19547,48167,78801,104089,169742,259269,397456,818554,1487988,2841013,7103872
25898,23114,21625,17941,18306,19383,24940,85941,97298,158036,271190,403695,809662,1575397,2889937,8141495
26223,23516,28114,16994,17765,17848,22594,83277,90309,163611,258160,400712,823549,1474090,2871590,6555415
24295,23250,20677,17639,17781,19124,19909,81170,79862,159948,264233,404906,805608,1561626,2892616,7109698
24118,22982,20309,17890,17910,34277,21398,89179,88716,157188,264743,397426,825818,1483928,2850635,5869587
24306,22730,20328,17773,18066,18781,20634,86735,88259,166244,268770,398386,806501,1589668,2886802,5842230
28614,22451,19879,17570,18299,19284,20247,86577,101141,160867,271161,407243,819514,1478395,2854135,7193105
24708,22766,19767,17508,18373,17277,18395,85868,98150,165718,257091,401873,816580,1590212,2886345,5791001
32232,22114,20172,17624,18284,20299,19750,83216,89881,171224,266883,445393,801895,1491838,2856356,7042302
23948,22367,20243,17805,17789,17390,18443,82713,83241,153684,271606,402100,805264,1939204,2908210,6295019
24071,22580,20129,17646,18237,19021,19787,79753,71586,157901,256849,401001,799787,1749428,2879406,5695604
24315,22357,20330,17736,18395,18789,18553,82125,73577,166138,265505,402075,807999,1494709,2867007,7432024
24525,21799,15903,17721,18241,17525,19512,73834,87878,172740,264033,399661,820537,1747982,2910772,5793851
24318,21996,15966,17593,18152,18993,18199,73817,90742,161654,264059,402048,808889,1744712,2892807,5949770
24067,21331,16137,17528,18120,19267,21455,79142,90234,159049,257033,404385,818074,1475967,2876039,5861809
24159,22200,15913,17531,18059,19204,21315,63690,89876,173205,350627,399734,825921,1479414,2945829,5853038
23255,21419,16163,17868,17832,17181,21502,71734,90276,157622,308880,399388,805786,1913355,2839690,5955715
23350,21094,15829,17441,18005,18723,21459,61733,89096,158737,300661,395596,814273,1918010,2869067,5816909
23368,21459,15770,17377,17507,17719,19713,90591,88823,162287,319489,400695,818900,1914256,2875894,5769444
23268,21631,16310,17944,18362,19086,19891,88775,84821,166188,270820,402901,814647,1772082,2806220,5768475
23231,21549,16035,17575,17858,17468,18625,63805,95779,172351,256048,398267,817549,1480937,2869133,5936247
22987,21453,15860,17497,18445,17590,19675,69882,88805,162313,254172,396350,832207,1505115,2773586,6342389
23032,21340,16149,18012,18654,19124,21605,56684,89931,159143,256266,399412,815775,1490606,2864786,5905953
23966,21946,15941,17651,18340,27452,21286,63772,88814,160034,258317,409411,819439,1499081,2871662,5765317
23160,21251,16006,23086,18042,17321,21249,65445,105552,163594,250508,401401,825876,1889160,2869493,5883639
23422,20684,16035,19857,18101,17163,21312,60507,85888,159282,255446,395648,820913,1757160,2849424,6227769
23112,21190,15939,18857,17994,18935,21695,69762,94462,163548,263342,405259,806493,1937013,2861257,7325437
23457,21159,16193,19265,18445,17163,22277,58830,85692,159049,262217,395974,810110,1748314,2807798,5920393
23088,21058,16964,18953,18299,19073,23206,62935,91991,157771,259356,399903,816126,1475965,2911611,7231392
22898,20965,15861,17958,18222,18775,21555,73363,95800,158729,258513,405868,1000907,1488564,2828522,7775496
22367,21020,15960,18029,18789,17052,21381,60367,93770,172012,267178,400593,886978,1593877,2860724,5916034
21799,21048,16260,16258,18547,17035,23851,68526,89760,156621,256148,391663,1006820,1505066,2854092,6967008
22124,20348,15946,24175,18150,17086,23609,59047,88499,155793,267083,401044,898297,1478462,2849836,6722771
27993,20520,15626,16357,17700,18916,23246,67166,82861,158774,252291,399964,1000298,1485981,2844674,6006700
22408,20617,15383,16271,18339,18669,21319,64210,88017,166014,254693,396826,992134,1476944,2839011,7031518
22611,26525,16385,16154,18309,18522,22801,81589,84829,170093,260392,400532,997933,1498889,2873753,5928930
22133,22515,15994,16369,18287,18647,23572,79706,87993,164117,248567,394184,995886,1897470,2836491,5824314
21980,22659,15529,15763,18228,17208,23041,63401,86448,157661,253967,395192,893882,1994207,2843757,5967881
22106,21429,15367,15843,18063,17112,23045,67069,93003,158040,257876,403313,769001,1714367,2829313,7166077
21635,21063,15696,16399,18168,17180,23420,81467,99062,169387,259185,402975,771087,1879737,2816767,6971711
22204,17808,15665,16213,18369,17401,23212,68050,82661,160747,255413,405383,817117,1871287,2817708,7301869
22125,17124,15771,16648,17505,18988,22825,81625,72753,156108,253211,396739,994934,1741133,2810935,5966341
20749,17341,15431,16196,18281,18672,21608,78864,89806,163319,265427,396908,1003511,1886761,2793616,5844230
20724,17502,15449,15925,17931,18546,21501,80689,84374,159717,265792,399228,821543,2054230,2798718,5924285
20645,17445,15586,42171,18115,17522,21571,89982,71337,162560,258095,397945,1029266,2253022,2854790,5847274
19697,17585,15346,19049,18557,19132,21731,80600,71546,212148,254671,393077,982562,1856520,2868698,5873349
20031,28822,15450,16990,18187,18887,21523,83841,71728,190266,263933,400090,1002606,1826636,2824786,5786430
19351,17757,15230,16768,18120,17236,23740,80305,73771,177372,266403,398781,1016863,1718342,2830018,5801755
19541,17602,15277,16701,18197,19102,21490,84001,84733,183880,250788,401260,1012821,1471020,2806624,5920725
19652,17531,15278,16697,18295,17750,21561,84191,81748,183301,258026,402982,995384,1937875,2829271,6050288
19876,17541,15156,16974,18403,17362,21425,78971,75186,183447,263207,397959,975120,1840467,3004134,5733551
20480,17136,15050,16197,18538,19177,23447,83268,70665,191986,253467,409292,984434,1762274,3024866,5837328
31451,17878,15448,16607,18297,19114,22979,80730,70710,183489,259248,397118,1006990,1929108,3001361,8365142
20071,17593,15545,16525,17931,18911,23184,85619,69495,180743,260649,400109,816732,1841578,3014965,7239183
19712,24154,15261,17464,17585,17908,23400,86868,89880,185704,256220,401297,999711,1874309,2988854,5910402
19385,21128,15170,16967,18105,17098,21334,80287,77454,180574,256156,397097,1010803,1852849,3049255,7056197
19632,20679,15301,16686,18265,18598,21662,78775,69492,178884,257379,393785,823748,1792612,3105531,6014746
19847,20546,15373,17061,18173,18842,21455,79581,65111,181157,254407,401852,825249,1913832,3044030,7455131
19466,21003,15005,16417,17718,19058,23122,95081,122904,178771,256489,394141,988861,1837173,3018472,7010089
19658,20404,14906,16960,18377,19253,21594,83724,101708,182710,226058,398871,1024884,1959253,3007939,7576380
19831,20641,15117,16707,18134,18955,21239,80014,85130,186346,225579,399703,823252,1942711,3034185,5862579
19903,20179,15363,16319,24048,18875,23392,83315,98082,176994,234042,398953,817146,2060888,3048184,6943081
19595,20063,15321,17118,18560,25785,23168,76404,97058,179071,228593,406846,818075,1810852,3000661,7853087
18938,19994,15012,16490,17592,17405,23141,82090,75947,181235,226693,400941,980651,2113502,3059317,7222529
18832,25736,15312,17032,18040,19078,23449,79100,73125,192352,230008,400694,981853,1488389,3036508,7004247
18866,20222,15575,19451,18359,18946,21511,78063,82977,187338,227819,404797,1005522,1478947,2994441,7347432
18698,20101,15425,16512,18095,19349,24361,85154,87503,190371,229790,398772,1029728,1471918,2999001,5877194
18505,20052,15557,16097,18183,17932,23534,80891,106218,182338,229359,404177,981607,1550367,3020007,7344549
19091,19844,15543,16489,18336,17129,21583,79232,109337,191577,230035,399333,972379,1473573,3047613,7071322
18418,19889,15294,17633,18510,18875,23867,73523,110596,181037,235525,398525,1012081,1469547,3029010,7683912
18948,19931,15501,16552,18302,19082,21540,64970,106854,178683,230366,408798,1002232,1486705,2894753,6034816
18380,19484,15566,16075,17787,17137,21471,82280,109898,185124,238877,407482,996248,1515599,2903101,5927751
18920,19803,15455,16040,18335,18607,23314,65896,114558,187462,229153,395916,991818,1483296,2830754,9016297
19133,19820,15331,16173,18209,17598,23279,81992,108949,175646,236707,405308,987970,4932332,2901664,8584400
18806,19926,15520,16430,18213,19122,21634,79138,109999,178081,235088,404294,988301,1477274,2914198,5924837
18709,20387,15342,16908,17986,18926,48504,75399,106835,185274,229550,404954,1005028,1497694,2863962,7266137
18891,20444,15093,16415,17680,19612,29963,74117,118050,185420,228850,404039,979274,1477372,2907938,5860493
18797,19322,15354,16127,17779,19849,24715,61396,107566,186796,224912,404194,1021851,1483458,2889792,5912932
18643,16171,15628,16202,18226,21479,23369,66145,116594,183372,225040,405899,813426,1487488,2933442,5824189
18843,15840,15777,15845,18157,19781,23270,76050,113190,183324,229930,395304,825230,1499391,2906280,5669124
19098,16530,15228,15986,17806,19272,23107,61395,111145,189515,224299,400845,816566,1475967,2825070,5663002
18134,16061,15356,16071,17927,19391,22577,72672,109584,179629,228327,397127,816206,1497103,2885689,5678884
18287,16004,15266,17425,18155,19969,22237,63686,114850,183178,227758,403020,819185,1476751,2893818,5621028
18281,16459,15149,16195,17875,19670,22222,63890,105259,187694,231008,407365,813246,1497016,2907242,5692252
18094,16279,15325,20755,18001,19917,21625,67188,109666,179747,223953,406772,1037510,1918798,2866576,5843786
18395,15781,15422,21378,18047,19786,21854,57225,112017,183915,228491,397437,992245,2094487,2893699,5741381
18499,15971,15246,17330,18199,19857,21610,75279,103831,175309,228155,392712,971763,1722092,2896366,5759455
18637,16540,16404,17541,18184,20145,21977,64828,112053,185092,233628,394877,1004046,2010027,2892947,5772272
18193,16658,23685,16627,18099,19895,22237,68845,103386,183266,229758,405868,821300,1818498,2881714,5630557
17892,15999,16063,16965,18798,20794,22135,87154,104288,181278,233248,393710,824722,1951606,2909355,8615308
17940,16229,15397,24353,18460,18502,21925,72671,103466,175961,227707,394710,811119,1518847,2859948,6087188
18209,16337,15408,16857,18444,20420,21664,76373,107695,195492,227870,397274,993030,2017793,2878484,5889451
18117,15946,15239,16764,18302,18656,21182,65985,104742,182955,230324,403426,1025418,1927881,2886932,5944601
18912,16055,15234,16301,18157,18584,21519,71378,111230,195737,228863,396511,978152,2008788,2871056,6996703
18826,16422,15510,16736,17840,24048,21349,65867,110730,187501,225794,397086,1002123,1846340,2889639,6157025
18578,15899,15593,17043,18732,18627,21746,67767,113775,180296,229881,406871,816502,1955138,2907332,7288330
18290,15767,15539,16427,18203,18239,21190,79208,100471,179543,234779,402051,819519,1734676,2900720,6104866
18261,16037,15278,16412,376829,18185,23480,80274,82191,189799,231510,392702,807220,2074157,2915160,8949171
18459,16261,15495,16455,18048,18285,23398,83062,81196,179094,229621,397637,968918,1813486,2899968,7096344
18351,16262,15134,16363,18331,18032,23243,82590,82620,183053,232298,393715,1026891,2049545,2925720,8739455
18261,16021,15435,16626,28622,20605,21324,81602,84544,189435,224439,403560,977728,2161395,2909564,7061544
18183,16205,15308,16379,18214,20024,23131,86867,90648,182415,229841,403376,1042740,1973238,2923088,7079741
18049,16546,15105,16181,18088,18147,23339,84621,99917,187344,226308,394501,825117,1898858,2895686,7160920
18019,16179,21839,15954,18005,18627,23591,84916,96037,192020,229173,395261,1027184,1922612,2893399,7037318
18242,15828,15120,16404,18071,20448,23576,83556,86362,185892,237988,396019,970396,1846865,2849782,6073995
18257,16108,15267,16957,18119,18319,23418,83133,83981,185866,235741,393550,993354,2001150,2908412,7800994
17676,16481,15065,17426,17564,18852,21288,89560,82145,191209,229181,405901,827136,1883186,2889799,5955719
17413,16125,15261,21545,18137,18842,21310,84146,89370,190687,235786,398700,835251,1845589,2905960,8743654
26961,16247,15568,17578,18184,18643,23791,86079,103911,182453,225047,404622,822617,1830418,2896915,6977415
17534,16336,15336,16850,18125,20301,23463,86869,88131,181847,230058,398608,773192,1879406,2916487,6109391
18021,16231,15387,16605,18293,18751,23726,83839,85959,186802,227107,402150,762825,1829234,2880713,7086351
17304,15413,15613,17116,26335,18405,24179,87180,86863,189537,235867,399280,776012,1995938,2834297,5899122
17830,16398,15255,17682,25157,18551,21763,82426,83632,182128,226642,397294,764856,1834654,2930795,5938957
17741,16334,15513,16890,17417,18112,23356,85726,89106,178624,231110,406460,769218,1837091,2877783,5978253
17693,15982,14950,16743,18773,17895,23857,84593,110102,191597,229701,397563,771889,1720066,2888351,6442951
17884,15726,19598,16655,17878,16703,23586,82048,94000,175117,226186,406737,771132,1921569,2905703,5882661
17704,16114,15415,16557,17686,18523,23454,85745,88382,181194,227898,408125,772704,1701515,2890634,7106403
18133,16768,14756,16574,18086,16278,23490,85801,86369,181696,227412,398205,769962,1493723,2913361,5786880
17423,23345,15327,16681,18187,15974,23504,83913,85681,190029,227499,399493,770751,1477615,2868957,6739899
17607,16086,15526,16585,17889,17509,23805,85088,81274,194330,227708,399952,766072,2043621,2897087,5937945
17355,16247,15202,17593,17720,18007,23413,83838,99343,184993,235979,397840,764404,1755077,2907111,5982669
16961,16598,15182,16481,17817,16268,23623,84725,95452,189273,221040,410941,770672,1478508,2874670,5942803
16949,16506,15564,16808,17918,17826,23641,86464,83846,180317,230018,394973,776499,1481323,2913807,6009542
17545,16165,14624,17569,17469,26626,21469,83475,102479,182405,225637,408660,769884,2057555,2897369,8149254
17333,16047,15128,16759,18337,17962,21323,78352,115556,190373,227365,395393,767777,14545295,2882271,7354545
18397,15766,15074,16726,17899,16381,23427,71464,107234,195093,228218,405851,770135,1858062,2908988,6938059
17416,16342,15094,29850,17702,16093,23654,86722,111828,187890,228156,401500,769555,1885956,2944404,6950961
16960,20847,15287,20142,17426,15987,23548,69615,109549,189463,235739,402105,760941,1847835,2895373,7374325
17261,16836,15378,20023,18345,17981,23785,73900,114533,192334,234058,395566,767851,1785486,2912624,6897779
17447,16374,15213,19645,18125,16192,23577,70022,118145,183673,230787,397058,773306,1869953,2884039,7477920
17718,16351,15324,19681,18148,16335,23722,63987,111038,181148,228970,400926,767223,1788103,2908209,7018010
17260,16404,14861,19936,18441,16228,23384,73330,99386,183642,227584,393070,765653,1877914,2908088,6032478
17245,16531,14714,19072,18012,16567,23461,66939,102799,179434,226695,405132,800838,1843294,2906068,6037795
17472,15919,14880,19159,18049,16205,23488,71402,107964,186380,229476,405959,990672,1871099,2873905,8186178
17497,16240,15027,19130,18611,16053,23484,71125,110479,181770,227306,397981,1007361,1812008,2883586,5906323
17307,16352,14767,19344,18497,16409,21486,61752,106377,184323,227355,397938,989550,1890877,2777385,7276260
16962,16415,14894,19251,24062,18008,23798,71240,115963,182204,230934,404520,992582,1843384,2829420,5855462
26806,15849,15179,19457,18584,17921,23725,68575,117929,181830,225664,408088,1013768,1819446,2821851,6280068
17136,16252,15465,19217,18482,16195,23293,66758,111137,181831,229455,405366,985476,1861067,2811561,5851723
18002,15737,15130,18772,18362,17700,21337,66441,108792,185436,227464,404055,955044,1859620,2858543,6719649
17254,16786,14997,18971,18301,17580,23251,58489,111310,182917,238324,393266,765314,1907278,2906376,7847781
16997,16277,15296,18948,17826,16146,23927,70431,108562,181281,231600,402655,764590,1840433,2876414,5911430
16955,16750,15424,18779,17475,17710,23171,61945,111549,185208,227771,410359,1146330,1824361,2810130,7030758
17398,16251,15284,18807,18519,16568,23519,66300,107985,180405,230172,404467,757361,1882366,2863151,6913239
16754,17217,15104,18340,18301,18003,21861,72444,111714,184519,227539,399156,777639,1838279,2861804,5947381
17547,16501,15290,18084,18113,16240,24974,87687,107344,188819,227067,397640,749066,1883757,2846194,7250284
16977,16280,15087,18263,18486,18051,40426,82328,107234,186568,227502,393878,878493,1795763,2836297,7220556
17180,15480,14976,18354,18330,17847,21200,65809,103799,180994,236867,399410,765132,1909649,2882751,6971170
16773,16345,14709,18342,18441,16363,20491,70681,104078,186385,252887,403653,770791,1905011,3079140,5858665
16526,15152,14821,18206,17706,16564,40582,67865,101952,182364,239549,417985,1076025,1934455,3087344,7057592
16481,16203,14865,18396,18600,17815,26561,61498,107217,190811,233693,401441,1029246,1806139,3024995,10330593
16464,19513,15055,18019,18398,16024,22307,73236,94804,185058,230112,404530,835004,15577846,3064765,5721129
16683,17486,14698,17756,18487,17942,19430,77116,94023,179745,227637,405881,824028,1864476,3034785,5684246
16445,16530,14906,24743,18326,18116,19510,88054,88290,175346,224878,427557,826549,1845676,3025333,5654946
16954,16475,15061,17581,18380,18639,21126,86819,86416,183055,233254,406358,825432,1817117,3069320,5768108
16873,16424,23291,17751,17381,18629,20816,85469,86276,183944,227350,395085,814787,1981603,3122269,6471550
17136,16356,15796,17568,18182,18715,20705,86240,98893,192653,231670,397077,811892,1752837,3023499,5809310
16805,16648,14862,17481,18654,18586,20544,85860,93555,179938,226304,395845,816288,1480774,2996810,5963983
17182,16616,14553,17431,18459,18724,20305,84847,83750,183086,229845,401105,815165,1932433,3032114,5984276
16910,26841,15193,17514,18417,18776,18494,86915,87167,183288,227370,395558,807825,1987661,3029063,5843107
16852,16144,14981,21942,18864,18537,20197,83880,88718,192918,228994,401394,815648,1713819,3091033,5878435
16363,15924,15236,17439,73642,18555,20096,85719,82983,180598,226677,544707,998634,1483051,3049324,5716426
16656,16162,14791,17490,18596,18537,20180,84925,104997,187706,226146,504812,973417,1901374,3039681,6261194
16347,16653,14995,16753,18688,18562,20115,84053,105290,180800,222946,405384,791472,2061141,3096912,6330541
