b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
20183,20016,20116,18633,18578,17997,18050,25002,23617,30958,29548,27688,29773,29075,30584,31063
20446,20025,20017,18579,18430,18077,18266,27130,26061,30030,29423,27214,29942,31282,44030,29106
20318,20095,20619,18775,18282,18591,17848,28750,24749,30484,28246,27491,31302,29248,29683,32079
20213,20161,19960,18695,18382,18471,18022,26921,22832,28568,37150,27494,37001,29383,35481,31603
20203,20236,20404,18404,18252,18091,18031,29389,22805,30072,32997,28424,29859,29499,28087,31548
20420,20208,19922,18521,18543,17993,17874,37463,23752,30310,31018,27227,29751,29802,31346,29882
20670,19797,19944,18935,18415,18242,26630,27952,27015,29621,30089,28911,31947,30559,30082,34314
20422,19827,19933,18797,18541,18291,19508,29212,25045,30574,30117,27553,29991,28804,32123,37257
20545,20348,22351,18827,18410,18192,18722,29386,23634,31324,39964,28036,31291,29774,29570,32586
19865,20418,19771,18579,18500,18690,18611,28843,23894,29649,29248,27585,30946,29982,30142,32322
19952,19661,19646,18691,18501,21562,18580,28859,26544,29642,38417,27804,30409,29570,30171,31399
20395,19725,19753,18512,18646,18476,18482,38684,25044,30894,29253,27881,31360,29275,29058,29503
20045,20094,19661,18783,18724,18639,18178,28900,27459,30465,29375,27184,30629,29591,29752,32422
20006,19868,19600,18752,18662,18163,18000,28172,26040,30271,29959,27437,30126,29755,29516,31453
20082,19667,19359,18461,18589,18027,18431,33471,23498,29846,30148,30918,40114,30331,29302,32157
20045,19724,19544,18726,18440,18164,17683,28566,23370,29221,29461,28224,29815,29382,33100,30869
20380,19787,19508,18682,18443,18236,18194,29575,23415,29933,29989,28552,31100,30373,28525,30103
20329,19775,19507,18554,18445,18492,17805,27215,22364,29415,29284,27671,29492,29387,29450,45909
20340,19680,18812,18670,24157,18180,18035,25588,27395,29319,29775,27549,30096,30922,29854,29775
20464,19776,18890,18607,18626,18454,17686,26455,26200,30385,30296,27859,29775,31184,29357,30577
20237,19530,18487,18630,18413,18561,18415,26283,26425,30917,30589,27485,30476,28957,30513,30911
20187,20050,18316,18443,18266,18807,18177,32593,26696,30970,36146,26971,31151,28158,29657,29855
19968,19672,18434,24807,18390,18067,18252,25872,26418,31007,32653,28636,30740,29855,28913,30671
19987,19447,18589,18736,18292,18472,18308,23162,39737,29459,31606,27548,28857,28730,28572,30175
20029,19491,18452,18644,18371,18114,18547,27631,27245,30435,32174,27692,30089,29093,29374,27463
20504,19461,18441,18749,18686,18360,18127,26412,32731,31418,29405,27297,30662,29837,29316,29855
20204,19570,18554,18822,18320,18012,27510,23300,26963,29755,30109,28169,30600,30006,42395,32140
20030,19550,18573,18626,18457,18108,18186,25197,26667,30869,29218,27237,30761,29288,28988,30674
19986,19460,19284,18526,18524,18392,18283,22456,28341,29517,31266,28491,29401,30329,30286,36916
19862,29373,18367,18436,18702,18862,18381,23759,28321,31193,29590,28423,31029,29681,29120,28127
19686,19731,18338,19697,18590,18101,18350,24279,25853,30406,30326,27511,30244,30203,37810,29659
