b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
8141,8011,7548,5736,7231,8817,16223,22355,41124,84865,158832,363152,777194,1383569,3217322,6136814
7863,7544,7654,5792,6973,10515,18346,23965,41480,81991,169974,393995,799684,1769565,3436873,6374907
8040,7576,7353,5916,7178,8980,12609,22340,40975,79047,165086,372125,742213,1443756,3207742,8592631
8207,7561,7339,6272,7247,8871,12474,32095,46696,79694,165337,394116,768886,1526532,3733317,6409799
7944,7463,7275,5823,7217,8968,12494,26296,43693,78310,160708,392682,755970,1418541,3246507,6795429
7982,7331,7170,6076,7171,8948,12640,26285,42159,100428,165361,383893,769747,1488796,3121350,7517950
8017,7485,7085,5888,7263,13954,12535,26331,50752,79062,159842,386712,770144,1464398,3412875,6372975
8056,7179,7314,5813,7108,9701,12678,24923,40432,78111,244623,399800,779161,1528110,3278949,6511332
13050,17551,7382,5914,7504,8517,12954,27294,41040,79287,165579,388569,752024,1516523,3401028,6383533
8103,7595,7564,5977,7348,8533,12316,26163,40906,81280,175421,367355,747744,1529265,3270690,6418658
8253,7374,7258,5853,7220,9271,15145,25746,43893,78454,163484,383632,772277,1527536,3239348,6122942
8184,7293,6946,5933,7161,8500,13522,29703,43503,78769,164826,381086,793812,1530402,3265405,11302471
7722,7398,8273,5930,7112,8290,12889,25629,43122,78815,166833,382979,798170,1522095,3526521,6864120
7626,7308,6468,5861,7108,8728,12659,25646,110243,77710,162288,398582,749182,1532961,3544156,6205554
7437,7221,6353,5712,7031,10495,12771,26711,43358,79476,159870,369207,785389,1517637,3492521,6249059
7473,6900,6266,5778,7330,8563,12768,34969,43435,85531,166868,365191,759236,1557375,3545880,6868225
7850,7160,6545,5722,7384,9301,12878,31019,45755,79474,162245,376931,779538,1545391,3300977,6226285
7442,6886,6331,5932,7313,8277,12687,29570,43913,80821,168651,359501,785516,1532515,3515482,6937362
7810,7084,6456,6198,7299,8166,12537,27987,43496,79004,161737,402597,752245,1514189,3409797,6258817
7570,7113,6361,5801,7464,8100,12675,27773,43000,78113,163037,394152,748131,1763005,3526310,6323191
7961,7103,6182,5743,7436,9161,12777,25980,41526,79144,160121,395730,738484,1516684,3445030,6325754
7800,7113,6189,5718,7521,8284,12598,26173,44718,83343,162733,395932,758790,1644345,3221723,6742548
7350,7010,4621,5928,7349,8098,12392,25928,41791,79777,160605,387419,770462,1389569,3507933,6494518
7494,7222,4736,5810,7349,9339,12727,25583,41214,79562,164717,381400,780309,1512338,3522147,6914921
7527,6787,4773,5796,7494,9371,13362,25368,41810,78670,160235,388766,772754,1526442,3428201,6388694
7755,6836,4677,5660,7150,9324,13325,24194,42008,80116,219343,377812,793001,1590130,3519919,6952894
7193,6814,4977,5672,7347,8253,13207,25924,41360,79932,171279,386851,777632,1595934,3222180,6995803
7326,6795,4746,5703,7030,8424,12793,24058,42548,78260,187121,370678,776646,1730296,3245911,6366733
7357,6670,5052,5787,7277,8138,12507,27019,46334,79906,168523,386983,782113,1611512,3507803,6465198
7048,6868,5028,5774,16574,9604,13083,26888,41820,86281,162213,376879,766272,1528570,3206836,6277973
7236,6847,4747,5988,7235,8705,12481,25688,42179,84796,163547,387146,779207,1508433,3277085,6966425
7392,6853,5040,6153,7167,8397,12721,24930,41332,78301,164192,367214,798861,1524463,3210869,6183670
8214,10309,4968,5982,7694,9404,13421,24196,47895,79939,160893,387507,775659,1501343,3227758,6262318
7460,7154,4753,5778,7507,8845,13289,24558,41744,78943,161622,379384,784750,1540206,3226154,7011490
7368,6945,4987,7304,7164,8339,13443,24524,41997,79218,162962,380978,778954,1583265,3241726,6579430
7225,6955,4941,6448,7127,8299,13296,25139,41467,79428,162917,386511,784420,1420066,3252792,6027927
7223,6940,4749,6489,7146,9400,13566,25517,42545,78041,159418,385272,745217,1605698,3257893,6749279
7123,6681,4665,6688,7593,8612,13386,24796,41989,80044,160195,385417,755791,1451962,3245338,6931856
7070,6466,4868,6325,7536,9306,13356,24393,41629,78478,167015,383983,790947,1509228,3518050,6592348
7265,6463,4940,5979,7508,8339,13457,25098,42209,78913,166692,391110,865392,1503066,3497396,6769244
6928,6560,4794,5332,7250,8171,13339,23891,47555,81142,165438,385454,752147,1573766,3223320,7424853
6861,6574,4696,5370,7262,8130,13371,25590,42747,80344,165532,378859,876684,1522412,3270041,8115618
6950,6480,4640,5351,7587,8207,13566,23971,42395,80490,164604,368163,736382,1523863,3230913,6319785
18998,6620,4698,5409,7191,9434,13479,24368,42131,79440,165403,389355,900451,1530896,3220296,6930414
6899,6744,4477,5286,7398,9248,13495,25144,41785,78582,163668,377361,900059,1509900,3228757,6276426
6911,7699,4687,5125,7438,9430,13283,25504,41625,84727,160486,386127,893600,1508961,3416127,6948568
7038,7027,4636,5614,7424,9786,13829,25615,41617,83839,159590,381605,910944,1600414,3528900,6649160
7020,6970,4683,5290,7582,8271,13865,24078,41739,78509,159219,375256,790972,1702828,3234216,6364007
7180,6795,4718,5352,7574,8009,13569,24725,41723,80398,160113,393583,781477,1496862,3481750,6804509
7076,6751,4540,5366,7295,8371,13414,25151,42092,78518,167292,397479,796016,1778889,3232082,6195154
7086,5421,4794,5421,7443,8293,13557,25645,41295,79345,163180,388319,749919,1582667,3196098,6597745
27596,5357,4743,5413,7208,9403,13352,26816,41251,80481,165981,377202,884281,1463289,3174686,6995545
6042,5241,4793,5306,7516,8369,13658,25581,41435,79380,165785,387962,770336,1613323,3199913,6778460
6204,5416,4754,5171,7352,22425,13415,26253,42263,79077,161843,380166,744582,1624362,3176359,6980782
