SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288
415413,465008,516619,487870,666874,988194,1802838,3415745,6636327,13664067,26749583,60663289,122552190,245008268,479693656,941857148
407264,452660,528031,491038,657717,1034009,1830781,4133702,6496118,13897594,26794492,61181773,123267877,244470933,477257065,959801968
413791,452502,505102,482861,633550,963991,1816232,3379507,6418887,13564944,27091512,60383526,122691558,245110052,481140098,947978724
415081,449384,518439,494341,660446,992779,1865952,4411533,7873107,13925113,26838645,61078392,122815539,245598216,477371714,936337566
392643,449238,515900,498974,641246,991559,1804160,3701428,6392001,13095487,26721889,60377143,123095517,244078132,478972300,943120334
410963,464237,507691,500571,630167,978241,1863836,3651982,6594783,16232789,26565852,60963086,122931942,244938583,476568616,952767085
404538,451862,499862,501806,625103,969865,1843666,4362678,6494020,13864864,27339816,60081399,122360606,245130262,478958332,963410815
396478,465405,508968,505510,648411,980382,1924011,3491018,6394244,13335294,26950913,62702828,123097613,244577015,477076866,947813896
393029,441230,503223,487603,639372,974145,1840249,4577782,6608842,15386612,27295896,62178898,122231547,244362268,479849132,953715651
397023,442212,507641,497080,645651,982476,1912468,3435014,6418439,13972268,26866377,62189869,122714778,245378570,482827396,954181953
398908,431499,495003,482617,655722,972616,1868780,3517199,6606953,13300732,27064884,61556826,122817389,244449310,479934742,949810552
399245,432245,500165,489664,664270,982299,1914668,4255257,6487022,13861041,26995528,63178339,122901771,245030967,477131805,953885906
400725,431774,479350,477896,739790,993775,1837104,3425502,6363909,13084159,27420738,61778352,122557562,245267033,482666190,942468265
397115,427591,486698,493095,737392,982724,1927059,4458408,6470066,16176072,26998420,62183364,123094577,243622950,478192058,946609485
400519,428167,578899,476282,680061,984222,1845325,3428635,6194733,13801622,27069239,61564916,123478691,243531090,483076427,955602755
384589,431336,537833,479507,705156,1012509,1853669,3543741,6168156,13163373,26653687,62229730,122556467,246426576,480508644,951499560
401636,427989,504452,490231,721993,991294,1777708,4280551,6528098,16989684,27280840,61598199,122507218,243735088,480380060,948211795
392556,431782,473660,493746,674203,999021,1794334,3447393,6450616,14115994,26879927,62868751,122594500,244161055,489068108,963561741
383849,437446,473030,474482,674739,984517,1830356,4613245,6324934,13263769,27193999,61280488,122961119,244827287,490407889,952723157
381010,437876,456624,484292,662968,988855,1810920,3377335,6147643,16177131,26698904,62343827,122657737,245202695,478500322,952015486
389217,427570,446790,476430,670886,1133361,1812862,3450914,6136271,13956849,27448813,61699714,122154729,244483091,487911653,960038527
395687,447455,451961,473422,636694,1286841,2106978,4708591,6025393,13133388,26885772,62880116,122809328,243618769,478082774,949942236
402358,449645,455548,475864,642263,1047783,1914563,3654155,6494790,15915335,27250445,61898618,122831114,245694080,480697164,955407807
374775,440241,446912,591820,679305,1000979,1905415,4564488,6526980,13967900,26819893,62235202,122560788,244865688,477716255,950120197
375269,445058,392029,533069,669721,999340,1849555,3455339,6328312,13122338,27313513,61909631,122438362,244014701,481201247,952338645
373579,459214,399737,521949,645291,994000,1827267,3507405,6259722,16155655,26781524,62248381,123237088,244103155,477671167,944127775
399292,452328,397607,524482,655256,995727,1787052,4231032,6329511,13878862,27221223,61442305,144234864,245683224,481117454,946348262
386124,449771,398736,514982,668275,995469,1795541,3514500,6279465,13188027,26879745,62273049,122885956,244571276,475764199,957592991
381265,450686,397339,502349,622897,1001863,1880111,4625527,6418356,16116498,27415879,62707608,122857802,245299394,478498729,959054641
372484,445730,403683,502448,626235,1052228,1795231,3445132,6590518,14105911,26815278,62597069,123141099,245161085,476889079,951044475
394602,437011,387873,486908,609939,996656,1810599,3425967,6489210,13247337,27284474,61498677,122698439,244562414,478589160,942828570
379977,436348,393404,485227,619409,1000588,1799603,4018057,6478098,16096644,26906772,62174529,121896291,244266553,475330451,943576250
370736,424877,396135,492955,610673,996259,1819995,3374218,6948300,13875414,27502657,62472460,123796747,244152727,478972635,953009095
355273,444662,399125,483910,611256,995203,1882851,4550161,6609545,13561374,26767846,62242528,122390389,244304612,476556040,953757425
365856,425353,402440,476883,623736,966334,1831563,3359652,7440555,14038274,26814041,61842305,123000354,243971338,480278087,945128692
371031,451203,388766,489079,626799,994714,1843025,3415837,6773004,13143829,26773292,62063473,123103988,244771744,476362456,947021031
367741,438889,384461,486863,618975,1028112,1808387,4124792,6579178,15972934,27026926,61926997,122693389,242913045,479425191,946458477
365227,446863,389598,500838,629745,1067524,1811187,3361789,7103057,13990186,26889078,62270296,122896749,241901781,475096127,945322645
363805,430762,396163,467430,622021,999156,1851212,4430407,6569439,13182711,26953545,62366058,123041890,243279467,479433896,945987566
369144,427186,410507,470236,629648,998023,1846426,3308651,7251930,16183683,26770682,62254300,122229577,240946934,475295457,964046804
372118,410156,401746,467077,628164,997514,1820185,3637979,6711368,14022570,27154262,62194625,122006234,241452746,478487662,973136573
364313,408129,386929,452677,627885,1005513,1801510,4442873,6707269,13110138,26721985,62737188,122616719,241573840,476180970,948921698
369151,431175,390767,448901,620513,997806,1856195,3541811,7425193,16105837,27071278,61962953,122566731,241144611,478081557,950668352
377947,396244,378496,465611,657658,1004292,1862595,5013177,6646284,13987413,26535222,62523298,123245723,241941024,475157901,961164080
366762,375324,391493,480791,642410,994307,1839796,3437449,7466375,13207167,26823590,62221603,122618525,242305595,479751388,955542817
342862,370453,397956,492226,639708,1025534,1888349,3396724,6662610,16141548,26518943,61951130,122908453,242318160,475034691,943689582
357742,376048,383560,499093,667182,984616,1827097,4226219,6680307,14065281,26480649,60181802,122570096,242121535,479529797,940712983
381727,360824,385813,501429,660934,1007374,1854387,3382654,7391138,13111812,25929233,60559203,122743785,242073942,475975910,946189377
371387,362838,378174,491479,658150,1030145,1827165,4897029,6661809,15570511,26416302,59943711,122535534,242133608,478969698,950700018
368019,363664,392805,504705,654046,993396,1816445,3387721,7479618,14001508,25652785,60822761,122689935,241869540,475630176,950033645
357721,372770,391348,485650,644687,988067,1863804,3339077,6575978,13145519,26262917,60039408,122717238,242066866,478111481,950180554
377278,376535,390462,482353,644741,1009100,1834057,4108727,6463581,15639664,25733104,60791033,123130196,242508742,475396511,952305558
372987,345737,375159,446437,678793,991007,1842582,3343173,7463028,13902339,26325070,60065784,122677496,241587706,478435214,943299144
367093,339253,376314,458285,630775,1003971,1815993,4879981,6817114,13572861,26068978,60794084,123244604,240886912,477084415,944878924
359715,337620,394787,460215,624412,1009582,1841676,3383842,7541427,13884337,26175658,59960378,122583707,242145414,480393721,956149351
380864,335631,397218,450051,644935,989723,1843590,3375439,6618360,13489145,25988544,60532136,123370003,240337468,478987577,948921550
359485,349884,384771,448838,648038,993546,1836744,4116961,6439620,13900280,26220305,60340548,123124416,241031225,480471406,947282904
363744,341739,390373,472080,637442,1019660,1848298,3378544,7054416,13444942,25715988,60559589,122912927,240681039,478201825,944801830
357131,341845,383575,449615,628100,986101,1813719,4802327,6593109,13891018,26429339,59940271,122574025,241982746,481215403,960482600
376575,336802,377103,469504,628575,982004,1816314,3546888,7671010,13542704,25816840,60751861,123087125,240987132,478658050,945145427
347947,339714,380068,476123,634009,980535,1816849,3498138,6789668,13846299,26154190,60084390,122598346,241411961,480223797,949964517
371432,346213,378098,466004,636060,966644,1817027,5134433,6634838,13611777,25645731,60761541,123530228,242093723,479519668,940120412
359138,339564,374407,450152,631660,947546,1830999,3500974,7185084,13751454,26288837,59904457,123463737,242423113,481829207,947353517
362942,337806,383486,456337,631961,973320,1842129,5424305,6663558,13572066,25750662,60819109,122884522,240815676,478685078,940284129
334730,340266,384533,579603,621324,956057,1837983,3596895,7218707,13861130,26442856,60123395,122442627,241438081,480807218,946090122
356861,349761,402645,578780,617522,962712,1860570,3659998,6773543,13147191,25739626,60752272,123167515,241555757,478610651,948396943
352283,338275,391849,554705,612320,964615,1802110,4370418,6503133,15534033,26371928,60244364,122753028,242071646,480685597,945194758
357267,334410,370172,538353,629428,974576,1812602,3529153,7076369,14001309,25686109,60922347,122905255,242970687,477611583,938308909
343155,331741,370884,539079,610908,958181,1823043,5000046,6494223,13397231,26355209,61802798,122796317,241684474,481408745,948626320
345943,336384,379655,550573,623232,981731,1816848,3614463,7058205,13952592,25733134,63121988,123047782,242105057,477587300,955154225
369864,338455,368020,488426,636848,943885,1820199,3699038,6387142,13260931,26311345,61281126,122667838,241410117,480302943,953767490
350695,334527,378877,502729,660218,984041,1827519,4404855,6684097,14030554,25925778,62448588,122207009,241897882,477414175,937269965
343355,329653,366525,487642,645052,953171,1817327,3567563,7342700,13370721,26346194,62556198,122807968,242114126,480958179,952243763
353456,325657,372720,485814,640177,980803,1881175,4896115,6667593,13990486,25807205,62551317,121862327,242138400,477604715,965918701
368946,344002,361738,489110,647104,967641,1839924,3514365,7205449,13095859,26338885,61650598,122721104,242021235,481331356,960831691
345041,337475,383512,495665,669672,987171,1840377,3662113,7206737,15616344,25998782,61992467,122444354,243476957,477846876,958305791
350227,329126,373649,526591,674677,969532,1844540,4588042,7192131,13850127,26472894,62355902,123042208,242863119,481132851,943085380
