x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288
527924,658545,1061143,540907,666374,1019468,1710529,3995149,13324449,25135051,45248802,82464815,151687838,255722184,458884482,739381239
554982,674912,1093713,533931,666577,998725,1673895,8433961,12881159,25099710,45166142,83667142,158360271,259442555,448806580,679303176
530033,679949,1082541,550709,677626,1044312,1714238,6516595,10811242,25237491,45835909,82323330,142662834,263849362,443240005,696808454
533433,662497,1089516,561531,655579,1018789,1733802,7302591,14315997,25242557,45486389,83809377,150105895,266686656,418878560,708459837
546137,689923,1077283,575603,669457,1018191,1683248,5588047,13189356,25284485,45299476,82478908,151267013,278283791,456885318,603307695
506191,673486,1084827,589938,664273,1015279,1707603,6434081,13051427,25054858,45474444,84054289,146536278,262353752,456360340,734966865
487257,661500,1093898,534012,651402,1046294,1668063,4850067,11947534,26098970,45248431,81969822,144652872,272418832,456215252,644213285
486962,680635,1085089,528322,666880,1012781,1683378,5978022,12253611,25092940,45267130,83868330,142475346,256664637,452612425,764800113
517071,677656,1064940,535062,665783,1051154,1660078,4402481,12764643,25072526,45364717,82361960,139709786,262665256,416405913,642465062
511121,657134,1451486,539837,674935,1037916,1694963,5399321,13121892,25159352,45433226,83837547,151490345,254993821,375964135,738488891
506113,665512,1038991,541801,650413,1023077,1645748,4053123,13009857,25264228,45215046,82318606,147477353,273751962,448556701,636001354
496334,684117,1045486,541938,662678,1076411,1655578,5166989,13233662,25824739,45011175,83569124,142546697,261938045,381623177,700304452
484785,660332,1019102,529371,646238,1037646,1661837,3889555,13075150,25056515,45409404,81914029,149270376,270769692,395144905,714717637
525019,674252,1048531,541942,685292,1040998,1640437,5135056,13090392,25222557,45323291,83364560,150315067,277458011,424674417,728179885
503207,665253,1034708,530425,682583,1036883,1679009,3808709,14832573,25105053,45531198,82104010,152794734,255699143,444191361,632375860
491838,677396,936641,532594,652129,1044639,1620656,5000373,10222399,25070369,45252404,83584099,141594005,257985481,443636708,715667438
494499,671335,798302,541013,649863,1018094,1759001,3774730,11480320,26120151,45346994,82054212,145725611,267425187,438618143,684352151
487625,662089,800491,507032,651919,1024353,1694610,5086058,12920711,25090855,45381554,82110376,149596264,254816083,421486533,679934567
483893,668578,799951,533283,664500,1027333,1690857,3784132,11424299,25185168,45655151,82877433,148127882,264598860,400100136,701159179
483165,673449,790822,520692,661998,1007182,1711958,5156578,14769787,25097840,45503496,83762403,147317727,274191549,420713076,725572997
494333,665377,809178,511756,668988,1019951,1649037,3763469,11021656,24955253,45471068,82748611,155051046,267453277,433569420,723890708
504526,659445,800861,511181,652731,1023122,1638524,4964999,14655980,26405702,44932856,83350949,150586530,259744689,441594267,654355362
484074,666754,805319,504663,676133,1020225,1692218,3773432,13339281,25080289,45342365,82085393,152524891,260810612,444270346,753404461
482947,662859,860781,514524,638920,1017476,1661011,5294115,12397251,25215657,45414173,84368690,151893762,260522446,450781369,646563252
485988,669986,825249,530801,663138,1099382,1738319,3898347,13313491,24985043,45178673,82258886,150932043,258804062,373376809,730433012
493067,662298,804493,518532,659731,1252082,1684003,5194202,12675809,25102647,44941599,86982559,150783258,265225801,440870482,709235634
482257,661698,809179,513182,663789,1126588,1691901,3744461,12653984,25218934,45431036,82135416,147989958,213569165,418616131,751487155
490236,671064,835627,536749,669462,1099849,1743500,4882003,13353312,25114426,45108867,84181606,158505346,234176634,419583199,694630706
486792,653188,818437,515817,667421,1133540,1671595,3761920,13409903,25147108,45170228,82504723,147183176,277841845,461502868,734656334
478186,669601,825238,513471,676011,1175302,1648152,5059660,14464816,25086609,45214592,83570215,150886795,269497069,386287238,708850631
475792,654821,814734,493379,676993,1121059,1685746,3769928,12210749,26000153,45506700,82827884,150710738,215870670,403708405,745776723
479339,659896,824233,510570,678743,1149328,1716579,4956842,12291414,24948873,45356605,84460783,149920224,256800754,377094834,747916081
470066,657334,825276,512887,664684,1148054,1760552,3751417,14948890,25247158,45259579,85201905,146740920,260832899,446451920,792004756
496968,660467,829695,514203,662044,1166530,2059889,5156085,11683410,25025082,45315345,83182721,150218128,270942426,438314042,762976580
456586,663654,812443,505835,655089,1159845,3326962,3873280,9787573,24992881,45695477,82149200,146325729,273057668,419324024,677667338
459011,671428,811574,515035,658437,1062736,2922404,8212892,15367976,25159473,45226188,83449227,151064710,273630506,394809808,703167899
482159,667223,810579,517151,662575,935820,2804579,6075377,13539245,25004710,45198284,82045287,149732618,270907832,437932349,714610195
488598,660124,818570,509202,665220,937896,2653277,6881329,13249106,25051300,45334850,83709607,146953862,268420173,455962382,773586206
448952,661860,794941,503725,679697,939406,2564080,5335041,12255278,25260210,45260068,82189878,151427011,252496010,455723638,664524805
484286,671344,820921,522315,672670,944073,2392106,6043367,12266141,26366056,45284448,83475477,159690633,264460759,444698020,735130302
477700,646844,804380,580849,664174,940303,2298568,4892307,12804869,25234140,45350425,81905728,153107309,270772692,383782146,687041043
474842,660043,812868,593635,666142,944151,2226062,5723804,13237147,25001220,45411346,83352441,151994822,256815501,438533402,734002892
479094,655140,812649,504342,653890,940505,2149756,7302261,11540068,25043432,45627950,82511036,148600851,270822306,401939381,717703299
483469,913012,801932,491243,651245,932415,2094063,7524861,14981560,25251926,45607175,83433325,147856226,259122666,407062314,675414603
449219,715786,810850,484929,660468,946670,2071928,6057240,13545033,25331998,45172280,83218060,140533148,259285713,422475560,719519564
438335,692090,830945,507891,671386,937667,1718971,6635080,12576424,25364194,45221559,84472941,141145122,275790109,393053817,651572459
454069,668150,822538,492706,654143,944347,1702586,5288956,14882590,25041263,45205210,83157871,142348129,253250245,446732323,680778402
424716,684222,806815,489564,667033,937505,1731118,5131118,10832060,25208695,45419619,83817571,123606978,263704835,365898549,699378471
440504,687032,814728,480262,670418,932483,1883733,4394860,14992285,25222875,45412788,82800043,150272009,259243366,445486994,708867061
466066,663214,804846,474678,674361,926210,1720245,5038719,11667942,25062328,45562024,83946560,153939719,271426321,443549262,742937586
466568,660105,819677,481468,644735,929928,1788186,3943164,12959252,25349469,45531249,82280843,148412957,255111429,409979817,737158886
433458,664554,835179,482144,649416,942218,1752391,6663531,14161748,25306309,45371138,83795474,150810693,272196653,416002268,744927267
461386,688646,803734,466573,625167,936498,1730631,7293335,13285681,25153075,45201026,82791472,149876698,270663907,443521190,640914027
438905,675051,819197,486523,630448,935492,1706335,7547163,13191312,25164849,45293106,83725679,144834132,263202540,432420109,749036873
454470,659838,803799,498683,579271,1047762,1725676,5922812,14920871,25169418,45311244,82504598,144729361,258964761,450378046,698157425
454932,672664,813441,493235,594367,1053608,1719851,6640423,10894943,25071970,45577662,84607129,140545939,269028880,428470481,727418501
440844,677160,800141,475319,578196,1075797,1681764,5317457,14867857,25182460,45195099,82679199,140408598,257467711,395558318,655334500
465524,664572,849371,490918,593875,1089665,1680268,6032316,11038733,25109960,45408124,84345941,141683032,255139008,406463624,755492775
463671,662847,818505,469424,580676,997185,1738045,4789866,13201055,25295062,45374390,82833907,149500411,266647064,404723955,702618028
476403,670372,815123,478572,582977,929039,1699979,5699643,13477884,25404276,45242696,82871340,150501045,259180365,374314542,710598329
440870,667732,789338,495306,585725,999377,1682803,4437622,13531195,25198198,45377488,82870474,146945964,268041423,439935530,730265755
447821,653196,814991,477252,599268,1024908,1665365,5224550,12423405,24951164,45223750,82938344,151131940,263753654,434159143,703987719
436668,667361,797643,473023,597375,1017353,1639568,4023049,14938979,25855193,45220644,82802234,141746737,245616833,459073214,659263708
414777,822936,803836,476237,590834,993438,1664318,4960678,10878109,25042750,45500732,83919226,141635741,262318790,418932436,718755512
405676,808294,807402,469387,588400,973464,1652295,3865038,12050475,25011180,45041162,83054946,149772498,254932864,406187912,750457175
379815,774046,822966,488395,589021,935176,1676109,4793965,13299690,25086442,45251995,83921545,149531768,266672075,444759216,759395366
388369,768558,824847,461061,579232,931742,1715599,3805001,11489370,24976449,45002699,82817816,150281829,271864392,438878132,635859823
388808,771599,816120,472213,578937,937962,1638077,4885305,11765137,26147356,44799828,83545495,140666534,264753618,433349537,675323778
378188,760464,810276,497620,613970,956030,1676628,6427006,13180078,25096612,45336513,82430094,140744584,265792371,423094891,757208263
376824,762031,805472,487703,617254,944091,1692437,7409461,13139348,25019875,45247082,86679119,93145803,260579700,458749051,672382845
386549,765079,797825,488696,621522,945766,1636687,5741903,11536043,25125048,44895199,82719110,92691019,253057792,455441028,618144249
383486,771889,822859,475490,600865,940294,1703681,6461683,12304968,24947603,45214889,84289517,93026207,268794704,372172664,700978277
392888,684369,810255,469528,583743,1043176,1631933,5246712,12769395,26175415,45016554,82425791,92931243,255770469,451405820,777304609
378024,633092,821364,480891,578507,991161,1653678,5907610,10616825,25101123,45221222,84059572,92953279,263499689,447566274,706159650
378496,639861,818477,469440,587479,937125,1659873,4669968,8574270,24988510,45142466,82655937,92179153,257908392,391297082,640387780
386452,648412,805096,473856,570458,931582,1662110,7384060,9745560,25060815,45278110,83922909,93111027,275047448,427805967,701968985
380644,648462,805128,485339,650204,933219,1660988,4162881,12232126,25071925,45244733,83287614,93031943,263652001,431936701,679795675
365816,646806,812497,525678,649355,950743,1669548,5041676,14090135,25070876,45023542,84251244,93088979,263120104,434570191,744756405
374750,660581,812501,488690,648472,949688,1657176,4031131,12351550,24966661,45013853,82253758,92664002,267457797,424122743,705770378
368994,651139,799919,471078,631848,932289,1637871,4857761,12408039,24992007,45066408,83769256,93214887,252875973,423376246,679907422
378834,648373,803934,478243,611664,937730,1650640,3879865,12411357,24994814,45118725,82775269,92218973,276420147,387593977,714639439
366534,639423,826790,483129,631511,976350,1646993,4907126,13286310,25111874,45140417,82805428,93219696,265363317,383884938,733807923
367770,639470,801651,500279,629481,942301,1668607,3786927,11404321,25308529,45275957,82499317,92764035,271117105,428806054,722618633
372780,647623,823138,475002,612698,965158,1650233,4812800,15928022,25217003,45014435,84043069,92679317,272585378,448452401,629454699
363455,652308,1078521,493567,633983,951990,1677733,3878044,10896074,25205873,45045749,82617929,92399389,214912780,422847705,715305376
374994,655165,1089976,461554,600968,980805,1666282,4824525,14909082,26124896,45580803,84186160,92978927,239192790,376763500,715029685
