b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
23109,24017,20574,15574,15033,14128,12376,32445,24760,42366,43455,37899,45100,46848,54686,47876
24266,22677,20077,15338,16950,14093,14150,30266,29038,44239,35338,37680,44193,39082,39342,47790
23515,21958,20447,15689,15059,14263,14707,35636,29892,46411,35329,36693,44632,47073,82106,42725
23830,21954,20525,21634,14901,15539,12941,37495,32741,45397,37264,38282,44156,47844,35525,65025
23525,21920,20255,15405,15584,15719,13813,31359,30659,44139,58291,37900,42785,42753,60337,51778
23316,21848,20435,15444,14759,13138,13078,35537,24806,44130,54779,43138,45192,46019,50717,56645
23765,22657,20651,15360,14973,13150,12848,37993,27426,46710,45087,36986,44675,45874,43096,45769
23759,21776,19896,15071,15081,14464,29401,40254,36504,45366,43555,38968,51511,42741,40628,74538
23166,21598,19816,15146,15391,14106,17445,34269,39956,44658,42959,38028,44175,44989,41933,61607
23332,21793,26060,15838,15275,12948,15327,38059,30306,48785,42955,39422,44620,41728,36515,56928
22018,21960,19453,15780,15331,14154,14627,37821,30502,43526,43142,37255,45500,44885,35245,47521
22192,21576,18352,14569,15310,20643,14302,36647,28740,43873,43395,39506,45334,45398,37477,55883
21729,20879,17790,15242,15540,14385,14046,39901,28540,45506,44170,37540,43369,46829,33990,46135
22393,21034,18085,14781,15236,14557,13594,40217,36030,58364,42583,36886,44876,49406,42229,50185
23540,20973,17431,15275,15554,13272,12679,38297,33887,44368,45053,38216,45315,46008,38326,51277
22568,20614,18203,14958,15337,12815,16613,37151,29626,45819,42661,53846,46147,45746,36054,47054
21845,20758,17744,14911,15292,13065,12578,38320,26632,44077,44692,36731,45512,39259,52044,54933
21998,20693,18036,15225,15167,21562,13586,37369,23008,44188,43201,37919,45059,47092,36150,672837
22692,20744,17722,14508,15601,14301,12570,37510,24247,44596,44729,36621,43590,43846,35664,112753
22498,20373,14172,14547,15424,12898,13754,34503,34040,44049,45169,38030,45794,46990,35909,34073
31555,20103,14334,14719,15581,13871,12552,35910,34040,46855,44180,35126,43570,47223,36804,40931
22830,19841,14295,14419,15444,13776,14689,31896,42129,45219,44821,39331,45643,45751,36859,47449
22321,20323,14031,14749,14885,13933,14452,27990,36955,48999,56210,36204,45129,42378,42906,35060
21461,20175,14329,15074,15897,13238,23181,30707,35864,44174,49223,39323,44703,43427,35998,50188
21971,19922,14645,15031,14864,14189,14516,25199,42325,44690,49035,36747,43913,37487,35278,42152
31898,20010,14370,14686,14885,12738,13739,37445,35134,47726,54136,37479,44380,39831,36552,36224
22005,20047,14146,14851,15915,13910,13574,33890,41245,44506,41840,37864,45915,52778,42449,43252
22252,19997,14253,14907,15148,12908,13181,25581,35498,43192,41370,38890,45055,43461,36735,59920
21812,20168,14036,15615,14904,13137,16165,30586,34576,49289,42676,39075,43590,49035,35321,45633
22112,20350,14259,15008,15436,14107,14528,34961,37040,43564,42221,36782,45008,46001,35317,43381
21251,21285,13906,15691,15430,14218,14824,37060,35891,47275,41617,36248,44287,49711,43865,46577
21615,20462,14654,18710,14992,14557,15253,28354,35938,48637,42483,37741,43844,41326,66323,44486
21810,19763,14199,16488,16001,13057,14710,24263,33692,44095,42201,38453,47096,41956,37013,49195
21354,20038,14268,16150,15218,14069,14855,29438,34821,45864,41789,38448,45788,43033,37622,67273
21121,19900,14532,15861,15478,12898,15072,25217,35568,44987,42209,40224,45769,45333,34361,51556
21269,19708,14226,15245,15337,13875,15809,28105,36383,45823,41509,38721,47866,43442,37284,67255
