FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096,FP32 inductor b8192,FP32 inductor b16384,FP32 inductor b32768,FP32 inductor b65536,FP32 inductor b131072,FP32 inductor b262144,FP32 inductor b524288
481360,522456,678005,478113,580500,744274,1327344,3771453,9429898,18395499,33966829,60283361,110633741,195254246,299696851,618735420
468632,540055,672845,483845,587306,848396,1287271,5041810,9323339,18355973,33543828,60818069,108469983,199313576,337104763,599981011
470373,540538,664332,496269,550856,845678,1301963,5519903,9364542,18432488,34090259,60396313,110640118,198344325,337027975,562533811
480704,524270,662771,496199,558872,813105,1328221,4646382,8496204,18446123,33345521,60831170,108600474,199148223,327920922,580233919
474774,546881,670033,487516,568970,796255,1322450,5313009,7922962,18364565,34095371,61034498,110621463,196069716,327057347,608242477
466385,539218,671941,498501,553187,817295,1351066,4274740,7345895,18408179,34150216,60622615,109131990,197544514,334535374,617867186
458068,541298,652630,455103,544001,770959,1323063,4239600,9345131,18370456,33889529,61556780,107337648,201074290,290846053,634063139
469587,539513,658936,466434,548150,833935,1329819,4777828,9202084,18233109,33205389,61784788,108519571,196540094,328890552,570779206
473289,541302,664118,451796,562936,766897,1329507,4051752,9304154,18216637,33923180,60095697,110244676,197302606,331045150,586242171
476029,538759,657208,443535,555751,779928,1295174,4524491,9158741,18400496,33239288,61376261,109961430,194974826,333749228,547908236
464045,541694,662973,452484,556912,792581,1360370,3707958,9409900,18462760,33392884,61469925,110367224,198608243,342990138,574099887
482066,540483,651472,444888,548470,767374,1292355,3765819,7547430,18379725,33370706,59610497,110074912,194520919,334536294,554136880
489447,532016,655971,454261,544393,763297,1320739,4399943,7060387,18447163,33968660,60276363,111676495,198841124,308688165,611910200
472757,537164,654413,427227,558524,765973,1345785,4622580,7371310,18302375,33244888,60650518,109657187,197438855,344404894,614120537
472807,532338,657548,431759,555510,727604,1350434,4755989,8057529,18357810,33779992,62930831,112670146,196534518,337685518,535724462
462202,530895,662071,439614,557748,929395,1281297,4112280,6415926,18161869,33229846,60564796,111438947,201004855,325669804,564758086
464837,541200,643379,429811,566899,858764,1310266,4039633,6455279,18314293,33863925,60698940,112986057,197947897,328225993,616138244
481499,540457,653362,451511,546010,779823,1316392,4560685,7133217,18404360,33062604,61442640,112181738,201123603,343857092,579962571
472099,530691,646832,438524,549273,780569,1300152,3869669,6673901,18371447,33518837,61410982,111798612,199025561,340113044,575698285
470657,529011,651745,434976,542385,719437,1315854,4860939,7699946,17253183,33203476,61420621,112444908,201870389,338511457,566512232
471674,536872,650813,439067,552045,702879,1297737,3732563,10427174,18374277,33698357,61167978,111121191,190462913,339625705,593129230
464646,531054,564140,434337,546241,698806,1346825,3778419,9996702,18395548,33187012,62275669,111271991,198143130,334139605,580298646
454224,525761,571658,443060,548498,699432,1311286,4366678,9673746,18313753,33601485,61729483,113184711,199133812,344962264,547806744
458520,528530,576143,432435,551079,700486,1339925,3661758,8642911,18448158,33722465,61972171,110068332,196830384,334341696,573922812
456645,532415,574914,434715,555442,681706,1372821,4273588,8032549,17674122,34144486,61512968,112697222,198952965,340676230,634615252
463026,537284,580085,459580,571620,706484,1286905,3698492,8186411,18313563,32838362,62064658,111827671,194700131,293522916,568927652
444038,531141,574422,433468,561943,691016,1361408,3728539,9531885,18442815,33489048,61400283,111046793,198994498,321506409,581690492
448948,537328,566177,440576,553765,703812,1331819,4351601,7026343,18414700,34214524,62365447,109938126,201711720,336493981,581883653
450824,535868,571436,435170,557423,709147,1292868,3823469,8180497,18433346,33699424,61259490,111772079,199471728,321991075,622038008
470796,541861,569974,439104,551952,716160,1355498,4299184,6729491,18374640,31151575,61735280,112287556,201171909,308574512,603505451
466143,522532,569853,433231,567049,697757,1297688,3729958,5799162,18425622,33559494,61101924,113360626,195024002,326446839,604275996
459709,545435,558456,438054,548294,703659,1303441,3673092,9614869,18325348,37075588,61861112,110217970,194958143,317055168,630415665
457644,541893,570048,437481,560024,688128,1348713,4412565,9327769,17257410,33638627,61443077,106473333,197626600,314245185,586273347
452023,534349,547671,431480,567019,701238,1308389,3698120,9502497,18485712,33317142,62185234,109369945,199694318,345972022,605210434
451525,531690,564844,444903,550480,746469,1329765,4413766,9631074,18311999,33776038,60710953,112196445,196219465,353411806,536658862
473140,526629,567014,431298,568693,700116,1315189,3774098,10786686,18297673,36925167,61804713,109138231,196320064,319587664,586790774
486194,517055,555104,455007,611607,685502,1300929,5556529,8363021,18560734,33689494,61414751,110944405,200030947,322070312,602474849
456241,520343,552538,427919,612478,696935,1330960,5328394,10395345,18466844,35714490,62169083,110186687,199570747,348657305,616028568
458608,517997,560240,433590,615825,693525,1333730,4920276,8259578,18391039,33507527,61613830,111641678,199288898,348809570,622911500
453542,513754,553035,443025,592803,691661,1289635,4767769,10798401,18524325,37544089,61790685,110012478,198938724,336724550,570091156
458691,517521,557649,427947,593008,762883,1288438,4421744,9407004,18553544,33664243,61209274,111117680,199511876,323949306,633268458
473164,514629,547746,441383,581815,704386,1283924,4462112,9454944,19077444,34446152,61374126,112181316,199700942,340480141,606761569
469496,515668,564316,427626,578516,693000,1306469,4173436,10750525,18516092,33828252,60285771,113237078,196518425,317584827,557214736
465364,532504,560662,432115,576872,702908,1901874,4177205,8231010,17345016,34547546,61618255,111924245,198184360,341859730,554952589
451887,516081,554595,428810,568704,708073,2159749,4006848,9532305,18198717,33768306,60406503,110280686,199485133,344128059,568516031
453179,525043,549065,432415,647319,705919,1966395,4909050,9304511,19083859,33323907,62146904,113246512,194572498,348839257,624073240
