b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
79802,84037,109155,149865,193754,257655,465773,943739,1820933,4452839,7122860,24078130,47708163,216451752,183545266,360206113
77804,79383,108349,135625,192207,309988,474148,1545233,1794317,4450843,7745318,22802960,48017932,205142216,183399842,367097888
77919,89298,107759,130567,196782,309388,460218,854733,1804126,4429840,6928208,23843347,47208688,222679524,179535337,361739640
74295,81708,109731,132968,205309,266013,456895,2514000,1728180,4486382,7744117,22761174,47764054,201327361,179200862,357421287
86262,83592,105312,139070,193834,263495,482780,859617,1702377,4385908,6919212,23360406,48154026,224695890,182247088,366276209
82937,77364,104761,117148,196387,276190,526323,930027,1883284,5309387,7716449,22962672,47493816,249386790,182649010,369858358
74322,79399,115097,123192,181892,272876,536425,1595067,1816524,4622924,6829268,24008920,47393729,219857246,179930397,363510601
76701,79195,108930,121256,184728,274456,530749,846766,1788913,5179186,7840320,22815986,47238800,250941915,180011099,361099717
83260,80462,110534,116063,186211,263856,464619,2454398,1712215,4588248,6939320,23747073,47521790,215501229,180437989,358961824
85917,79974,101527,122530,194332,264997,469052,944406,1681704,5178444,7855151,22730172,47782160,204097594,185862147,364977781
69751,77443,106370,119703,195019,260304,463103,1030465,1704148,4633519,6936610,23511450,47843883,226143402,179699022,358688982
75342,78296,103113,117312,198709,300043,462856,1704806,1885847,5103633,7885245,22797189,47727490,206866028,178822589,367120532
80042,77649,107952,119566,187817,287346,469108,940025,3419888,4625110,7027019,23717555,48122942,222458769,181738233,374663425
72746,86670,104844,124448,189425,298677,465618,2703642,1726432,5108598,8375693,22729572,48029286,248765270,179561952,359372839
81076,75090,108219,130786,187184,248981,470718,946299,1704457,3941804,6929287,23780100,47868137,219546372,180714099,354839167
80589,77768,103813,117258,191714,283239,449942,1048874,1700468,4747304,8182933,22953578,47823970,207178734,180971075,356294789
76565,76460,102714,116414,185980,272255,525311,1984742,1937443,4850856,7035011,23740951,47244299,221116939,180446165,361887326
64723,77423,100839,130801,185775,269423,504524,971470,1801576,3961657,7863947,22860218,46298325,207421630,182380700,369126943
81380,76853,103167,119781,184825,254408,523615,2922676,1818288,4470763,7193102,23408043,46554769,221064071,183154072,362650439
73475,79818,89461,119743,198145,259327,479875,969795,1957870,5089054,8218323,22829642,46548443,204894291,181837446,366953976
75749,75077,90082,120431,191011,332082,487217,1053253,1794281,4199162,7086680,24050256,46686532,218565966,181100757,362202388
71588,72778,90295,121123,191170,259085,470312,1792754,1749459,5128301,8244216,22967845,46853985,208960707,184034296,367509192
73507,73309,89969,125072,199033,254383,489271,978857,1922746,4186459,6912217,23819658,47094716,217338042,183123275,366108172
66325,74284,91623,117944,206475,260188,486702,3010813,1794420,5046475,7933551,22780199,47194236,208423558,182517538,368805545
66089,97536,89413,120531,203237,259593,448620,968524,1733344,4262978,6971463,23429199,46991447,220171337,182741037,363622754
76970,81876,87781,119382,194522,283111,473263,1058117,1774517,5105579,8009818,22843123,46767914,251090112,182639612,367586145
74362,96570,87715,118385,186255,262466,480902,1784798,1747344,4254484,6984081,23708575,47578381,219537018,184020700,357197862
73171,85986,89643,117667,189114,273684,461184,961051,1712789,5091763,8022530,22927473,46469101,201807026,180637731,374323167
74883,84200,86012,119726,187922,248987,474033,2735871,1952305,4246343,7118612,23506337,47133117,218303606,182654930,366017155
68980,81519,88804,115076,192024,271901,449466,912923,1823739,5105383,7908076,23011965,45871507,207055399,181758588,371294616
86113,82645,96222,122812,190796,272267,488293,960261,1852188,3923632,7145456,23735999,45684330,221802286,180674295,364782169
71018,88980,81880,119272,189272,283580,482062,1614419,1792782,4764819,8442636,22712906,45629905,199879539,181591951,371192094
70199,105358,89841,123743,191079,262209,476983,876840,1836678,4939500,7495707,23582862,45927720,219556432,182242299,361169333
72927,72923,80010,126436,196457,278037,484844,2625031,1818829,4628968,8147254,23080888,46417097,249763581,183782061,369888565
70975,84842,88988,121365,202502,253522,476341,1030889,1915389,4555171,7102433,23757415,46805621,213331474,183679999,366531463
76083,72560,82948,120265,203525,277087,452853,1041552,1856953,5138804,7939134,22776756,46172008,210474711,181834739,366341583
70947,79988,91113,119020,202893,258949,471817,1615793,1842677,3934932,7270506,23630537,45879401,220052666,182974406,367580860
71457,85221,82493,124879,198040,271867,451934,921478,1804881,4735421,8289415,22832779,45813963,206240783,184648955,368149313
74240,82470,89299,123985,181738,255782,456324,2602156,1802247,4887344,7136277,23735957,45998304,218963477,184140246,362298050
65005,88171,80576,119458,184543,276661,465909,882670,1813991,3911995,7919196,23039335,45984415,204509203,184338141,365187981
78660,88133,86420,127774,207184,246511,461297,994797,1917277,4469591,7282190,23444417,46511001,275082888,182580850,362503002
71598,73065,80376,119807,208034,270681,494347,1677084,1828378,5221277,8012191,22989268,45589688,207114187,183050318,353604987
72617,77002,87859,123454,202488,257455,482635,874276,1866409,4134588,7237672,23862191,45809323,275108040,184864678,356473067
61986,85588,82897,121943,203918,277288,436875,2602141,1820665,5196179,7889371,22922772,46026265,205906861,184262987,357420249
64103,71960,87013,122803,180317,262789,489880,900731,1861073,4137019,7168749,23526937,46286617,220830000,182458450,355678195
61580,69326,80838,119871,185623,275019,453959,963211,1821455,4995527,7868526,23125023,48679617,206171330,183103582,358686611
61079,84722,88221,117168,180012,258344,479234,1612063,1903335,4187325,7349220,23790152,46916398,216519760,184506735,362182599
61544,69450,80197,116853,186147,265009,441341,920359,1826998,5081198,7739919,22760178,49372440,207798136,184809910,371073821
70832,86350,89315,117311,188590,255690,461298,1869773,1875080,4217905,7256006,23739845,47214282,219326986,182496366,363008077
67732,85015,79036,118178,187967,268392,483779,921775,1789406,5137785,7933059,22711327,46746253,204356699,182159121,365510447
66686,67385,86185,116795,177405,275617,455055,1021179,1830518,4184192,7301787,23217247,47395556,220670890,182909666,360907349
68879,76691,84652,117257,192835,261244,475781,1718456,1795897,5161434,7824007,23170626,46822056,206246015,181975386,360092308
60671,71514,85876,123784,188477,274867,463975,969059,1894955,4212033,7319501,23716006,46877808,280095718,183780114,369546049
77336,77184,86598,119629,178627,259503,468189,1966380,1821764,5137171,7859049,22693153,46928698,224100199,183826404,363964766
80996,78085,85910,118107,191327,258719,465310,955520,1840381,3943819,7283797,23611478,46623084,223233877,184624814,359760436
66116,76382,92445,118760,189145,257609,445609,1035730,1868736,4874198,8070600,22591339,47170496,256979593,186376916,363178174
77854,66663,88879,139793,189189,255819,449944,1653166,1761670,4848987,7029981,23533379,46580106,264194891,184162092,356091669
66527,74204,86952,116278,179452,270434,489016,972115,1676501,4444099,7865524,22686039,48849721,212112604,184877332,362868950
52927,65108,81967,113360,188812,259025,457647,2090145,1888348,4876792,7095013,23687439,47857161,278581930,184408914,357789950
54728,68072,88671,126990,194210,284689,455500,964626,1794098,3913641,7768625,22703983,47297458,251944612,184836695,364918233
67984,69259,96336,205339,194523,255406,475764,1052879,1744071,4609353,7192265,23569575,46531580,274009899,185512065,356109627
52217,67659,85435,128638,181484,293757,448660,1734129,1762167,4771836,7893549,22640962,47841814,258091682,183149202,366273598
60942,67780,93924,125830,179323,271693,474775,961825,1768612,4546944,7056238,23463133,47226465,269285503,183825319,363209639
60846,66593,92724,124163,193027,280660,459872,2029996,1750745,4465049,8189701,22541970,46841764,260636755,185615077,379413690
52777,61452,89375,127453,182756,251926,449312,969908,1884082,4460114,6992594,23539840,47308830,225874369,184208877,355594285
51817,67097,91830,127988,179496,275281,479554,1075964,1786511,4414300,7814292,22643939,48033472,255304644,195346796,362525159
53155,69162,83441,120174,198908,247069,464938,1767002,1742604,3352186,6857213,23360815,47506997,268137338,179579703,357112305
51745,71139,80285,128794,191063,279830,451996,958224,1763616,4724786,7701451,22950764,47230346,205399988,181274217,383673053
51873,67062,85079,134171,204281,269372,484663,1974782,1746268,4246777,6865154,23474068,47563378,265971524,179684054,363997663
63242,61191,86167,119172,197802,287852,451730,960683,1700126,4395098,7742152,22560897,46747569,255549906,179895539,366608119
53478,74138,86356,121189,201899,257557,465364,1131818,1891308,4310282,6851268,23563548,47298525,269124890,178940955,360360798
53195,72202,84611,115700,195574,259780,476209,1820415,1790441,4545319,7878919,22764639,47339462,257557598,181603988,368995524
51869,71805,85593,118602,183183,268490,469435,977651,1692015,4300199,6942569,23426567,47408665,267895051,178016558,365719154
50309,65311,82493,119657,196006,266116,489412,2043457,1680434,4526570,7793475,22599043,47735607,257262631,181624305,364195761
53429,73585,82216,113738,190778,272467,469670,978879,2022219,4270743,7121956,23661436,47846709,268240872,179837358,375860640
52077,66437,78965,117049,191519,261423,467183,1078698,1906405,3436582,7722680,22570726,46912190,258074064,180885051,363549477
55231,80417,84524,123793,191993,269870,467077,1777033,1844889,4555211,6954380,23673457,46276084,268877942,181424333,364340975
56070,74323,83330,124215,200258,260437,458537,960304,1905121,4333533,7736645,22607705,46954741,254815132,182268389,360654273
