FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
152409,256157,432155,757971,1398336,2557301,4925334,9301696,17710553
233788,254375,429864,748194,1410188,2526777,4863446,9296314,19380674
158516,256616,438502,743635,1473617,2577098,4864384,9311874,17751594
148845,256121,446150,761077,1405095,2605239,4905141,9634031,17873517
154496,258823,452559,745994,1399190,2507860,4847884,9354478,19585636
151313,254256,433315,752840,1410428,2584005,4845826,9368148,17480947
149586,257938,422626,763855,1408380,2574846,4908739,9448493,17749991
152517,263566,449361,828510,1405392,2595792,4873232,9314342,19376648
155749,252922,425703,756866,1395269,2589216,4834836,9237947,17793957
155082,266836,436855,750064,1407740,2536611,4881406,9294320,18034797
156976,259882,437538,745070,1397118,2566133,4876934,9281441,19419221
152452,262010,428038,757485,1412336,2599392,4824604,9363391,89616371
152027,262059,445809,756438,1401474,2622892,4896791,9357799,17700287
145369,257266,432977,747330,1410558,2553129,4929664,9321975,21709156
155189,264289,433501,747416,1408816,2622694,4849949,9269655,52164465
152821,259618,430176,756052,1412326,2574437,4888420,9320577,43751974
155023,251805,449360,749302,1424711,2586130,4890399,9402081,58031279
148408,255769,426207,751145,1406335,2576596,4944806,9293130,17765323
155331,257716,444321,750721,1389694,2601335,4862946,9390428,17663694
151318,258864,431889,750329,1430917,2619213,4872640,9362966,18688696
153016,258503,432319,759515,1392990,2627677,4891560,9298490,17583046
153348,256011,451248,757766,1460783,2575974,4920651,9306302,17730720
153173,260597,445018,752938,1415253,2613093,4867869,9286848,19449100
153196,249071,429466,754149,1431438,2524450,4907134,9317309,17780389
155759,260385,449398,758231,1408912,2616802,4855282,9255644,17742250
154476,256688,427631,747785,1401385,2613815,4872586,9440804,18912994
154078,253472,502790,744963,1399107,2607245,4886581,9416128,17594634
154307,259967,452757,757773,1412605,2664043,4883609,9321205,17852585
153582,258470,441249,829904,1399793,2493382,5171245,9352833,19446095
150905,262641,444751,748247,1433981,2616056,4814381,9382884,17740629
154019,266716,432632,753453,1394950,2698092,4806569,9810644,17698740
146392,257064,447709,739062,1486158,2598526,4838173,9297101,19608682
153652,261216,439048,756702,1396968,2603864,4860570,9336031,20398048
151887,260233,441196,760463,1424541,2617511,4899655,9338055,30253600
153276,261796,433581,746882,1404002,2565850,4907280,9353610,19773529
151168,256874,432421,738695,1437338,2629522,4857918,9348234,17706656
157157,262709,444791,756981,1427852,2572870,4849947,9355839,17746409
153797,257567,430517,740730,1460969,2562172,4901080,9378249,19260522
158148,260994,455158,758179,1389380,2597003,4888799,9373794,17612614
154351,257919,431098,766641,1429072,2581900,4837833,9304278,17664445
160117,262331,436154,739891,1388677,2667756,4926473,9290698,19192616
152126,256534,449991,753087,1424336,2463276,4872349,9386159,17831772
156896,261747,449660,746252,1441108,2594490,4838712,9323491,17629926
149071,257895,434159,740631,1437915,2528511,4908444,9301732,19354455
154431,259232,426176,747986,1388941,2609513,4823387,9337441,17706326
155590,258706,441476,762741,1414568,2590591,4848714,9766688,18110205
161040,260465,436576,743767,1395346,2633278,4902841,9350902,19318973
153133,257836,446636,749860,1418337,2491548,4863277,9403270,17564689
153065,254745,432878,760988,1417828,2602706,4898093,9336258,18026682
155219,261728,446295,757936,1476365,2515363,4935462,9374138,19417690
162461,256824,438699,751940,1395515,2613276,4950194,9361149,17617032
162269,257271,436807,747968,1418234,2550210,4986376,9364858,17710418
153918,261904,449454,745961,1395875,2663310,4935397,9388438,19376577
151842,256323,424658,751141,1406045,2453353,4858371,9403414,17743097
153462,257099,429962,763182,1423942,2626100,4831408,9282257,17749206
151982,259987,503128,759004,1436598,2606192,4907420,9408588,19368126
153427,259053,442340,750984,1442768,2605124,4875444,9281526,17697520
150283,254911,440481,760524,1406044,2578793,4858877,9335297,17831002
158450,258875,437813,748982,1490368,2552925,4856273,9384170,18866279
153635,260483,432197,751041,1407026,2598216,4948078,9760782,17658872
153809,259302,431708,752193,1396788,2609434,4861226,9429249,29597752
154865,259188,482642,748041,1437050,2489789,4852021,9350463,37142875
154661,260901,456346,740767,1388669,2607953,4865627,9303772,17797421
150946,260919,450563,750823,1411310,2594226,4878910,9358624,17912813
157804,253753,433949,744503,1408531,2731733,4841388,9319712,19411159
150480,255222,431831,750429,1408141,2513489,4889000,9311750,17790432
157124,260027,430947,757877,1399206,2664384,4841679,9308192,17904557
151126,258835,454671,742754,1499692,2581017,4852856,9317038,19304164
155642,259490,430602,748543,1416088,2616816,4828552,9372110,17338149
151797,261503,453233,748213,1408695,2550617,4796269,9317548,17871863
153120,261253,448578,735503,1392821,2590354,4899729,9378838,19375293
149904,261738,422349,740772,1411851,2544004,4860020,9374414,17546898
153382,258229,432392,755094,1398778,2572243,4921141,9586931,17902839
151074,265322,425439,763855,1410502,2611079,4837390,9457961,19413477
150193,256444,449929,756848,1395471,2577151,4867736,9376207,17777989
148915,255673,430166,757524,1412836,2595486,4896979,9372214,17825314
156418,261378,447786,740711,1396611,2580768,4847553,9397231,19239520
154441,257685,429708,760903,1404723,2570303,4870219,9329178,17625041
152703,260624,427962,828824,1397282,2555357,4822304,9378623,17816430
147086,308271,424800,744583,1424749,2673305,4874820,9328385,19266681
155874,259646,440315,757927,1398102,2591196,4864698,9586186,17826101
153085,269872,447265,739615,1429075,2643965,4868276,9354803,17720302
155333,265676,436802,740805,1431775,2615530,4800757,9374660,19180260
160834,260954,428581,744821,1406019,2583192,4825737,9425384,17757563
154236,259303,438633,771254,1414496,2601158,4827804,9329720,17602766
151752,260922,426647,748435,1408251,2521745,5332485,9391793,19465135
151891,254336,480802,746354,1461439,2635443,4906981,9493470,17970281
151633,254809,437633,771760,1458897,2653819,4844538,9333281,17604940
158077,256426,444083,754632,1425919,2588289,4891457,9372983,19341769
153948,262410,432002,741678,1408972,2706746,4836791,9339607,17657294
156082,263467,452241,752834,1394461,2608942,4984335,9477646,17848104
148216,258979,447733,755977,1406360,2610554,4869275,9339703,19314717
156273,252179,425161,750672,1394229,2497862,4821545,9340514,17764047
203332,258348,451161,742558,1436083,2513497,4835452,9417650,17947250
159754,255383,426041,739564,1409686,2585055,4940438,9343958,19427362
150073,256715,446616,742929,1499988,2541214,4850485,9373818,17800442
156309,260722,421734,823019,1401476,2627257,4909024,9474195,17813748
150887,258928,437641,750439,1411701,2579953,4917061,9342752,19351421
149254,263191,437553,752239,1402905,2580101,4876932,9382510,17567158
150626,260128,433010,766626,1410361,2548150,4876139,9522330,17911319
152817,257361,428229,750016,1391167,2563937,4877044,9291692,19363090
155876,262016,426253,749940,1407793,2554122,4835105,9477846,17670107
152366,254570,438605,744770,1421622,2591757,4915774,9403950,17686466
151047,258538,454797,751196,1410503,2636454,4886625,9350772,19697469
155737,261891,437112,743980,1393029,2589636,4858538,9324361,17838234
151838,264018,428350,762251,1412873,2617133,4870406,9366588,17895775
157472,265281,433706,765983,1403805,2634294,4904680,9370345,19301059
152877,263896,425109,742664,1414127,2734373,4929426,9328552,17598501
152819,263105,451776,752517,1397911,2595593,4894218,9364153,17682679
155349,256548,428443,765731,1405274,2574480,4944510,9222777,19187204
151683,258214,441461,754202,1397473,2592116,4884349,9422647,17584742
154627,254327,428325,750355,1404490,2537529,4968903,9257939,17913115
151606,255219,434412,752138,1396970,2593541,4867823,9323027,19394346
153231,257029,435886,755963,1416797,2618430,4843656,9317869,17677164
155375,263070,451246,754182,1453646,2570704,4958985,9320003,17831077
151476,260159,432471,779534,1460401,2600476,4982409,9864625,19189378
154687,256753,424926,755554,1393935,2593259,4885099,9338993,17684886
153818,260083,451267,755164,1413784,2602657,4908768,9438686,17791402
152645,260518,436432,747626,1403750,2616387,4897965,9445200,19473712
153362,260683,442816,737357,1418315,2591183,4874989,9376739,17539276
151968,258596,448362,749021,1421754,2585657,4898041,9306196,17586792
153929,256855,448754,754011,1449206,2477577,4840982,9319857,19498575
155348,257647,422271,745117,1403897,2602409,4860262,9374448,17631868
154090,259468,440920,760218,1414393,2739883,5070221,9365244,17916480
158126,255353,443112,740073,1397353,2582428,4780529,9285888,19368154
153556,254408,448182,734954,1420647,2562203,4910608,9313186,17734391
158236,261605,444714,748581,1394511,2558884,4916724,9414405,17589594
150231,259545,434998,754827,1412393,2592165,4912067,9438092,19347599
154007,265022,433688,741696,1402909,2660557,4889138,9704371,17613846
151767,260159,450863,747493,1406517,2534596,4886283,9321937,17746177
154372,253153,438743,753952,1416261,2521438,4884899,9395497,19352928
154759,266318,437267,744178,1410065,2608656,4877089,9326430,17607026
153145,261604,430021,826432,1471877,2634275,4886187,9378712,17961167
151272,260416,449888,752788,1454262,2661179,4807889,9314601,19514038
156581,311321,429018,749564,1393231,2593000,4896778,9538035,17393859
154917,260296,433358,757460,1408552,2422989,4861583,9327419,17791087
151877,260636,442147,738390,1402931,2566840,4886078,9325175,19352082
150597,258239,442867,748847,1411437,2676521,4796210,9371477,17599089
149837,259050,431029,751823,1412358,2675124,4860829,9321368,17895277
158802,258500,433029,752410,1433424,2611188,4861614,9412261,19378148
156531,253074,427353,746340,1435051,2587791,4862459,9339647,17905803
154439,260761,437876,764301,1410713,2533377,4860798,9398490,17712941
153928,257607,454559,762388,1401342,2534367,4872009,9660868,19297898
156583,255340,421702,754292,1431440,2602096,4901091,9303281,17670091
154470,257940,446369,755977,1392684,2574618,4826477,9459523,17873423
154099,257696,430078,748401,1409810,2585426,4886507,9375880,19479203
155822,256416,434784,749540,1390632,2586100,5432318,9320960,18046072
152638,259345,427404,755610,1408943,2634056,4876557,9346330,17444592
152174,259583,431532,744417,1394863,2585780,4884578,9280380,19285303
150930,257813,483280,744475,1407588,2598602,4919851,9376777,17701247
153752,263581,443396,758054,1404326,2600440,4862453,9420440,18122711
150482,257716,434059,741644,1451262,2624988,4822055,9434902,19471202
155252,258808,440014,747837,1393581,2562719,4859157,9325337,17574273
153230,254506,439517,761972,1417456,2591706,4988454,9350791,17760204
155423,253752,427796,744900,1395314,2636250,4917096,9262165,19323381
159667,259925,452505,752327,1403821,2636191,4794186,9312802,17874161
155902,260021,432349,751985,1395728,2666259,4952958,9366579,17902195
156131,263131,434577,748765,1430514,2634206,4930653,9702582,19381383
156448,252205,432703,734155,1394441,2525020,4896728,9328098,17764707
152164,254014,435943,763792,1421893,2482702,4841518,9355837,17764504
152923,256753,433016,755537,1505751,2606026,4784892,9371836,19384071
149228,258330,437585,755983,1431778,2657112,4899544,9432679,17721563
152805,251486,430322,754282,1397893,2626839,4934898,9454041,17971873
153864,258779,433119,744558,1407432,2475293,4821353,9378397,19432175
155963,263164,441664,749131,1395123,2628030,4812218,9320653,17586299
152913,258533,452771,752365,1414155,2577190,4850551,9244522,17854109
157622,265777,438529,760613,1402226,2587864,4877935,9418729,19292970
158660,255084,432129,823815,1411239,2688461,4858624,9337067,17835076
154415,250859,439542,752319,1404055,2648446,4846724,9296322,17845458
154637,257940,426027,746875,1406605,2613173,4929315,9373721,19368020
155783,254569,446010,752264,1391226,2614209,4842548,9314643,17680814
152289,260323,434470,764326,1491499,2583259,4864074,9725708,17686730
159235,254791,439489,736220,1406202,2613206,4894574,9395869,19407500
154439,255598,431901,747524,1457622,2519122,4891105,9332895,17967979
154140,257687,449149,755263,1392736,2616027,4831782,9409769,17926758
150590,262164,447426,754638,1404759,2589657,4938452,9366391,19262936
153501,260246,436172,742761,1411266,2600144,4894583,9305652,17607291
152919,254549,440732,755414,1407003,2668788,4866560,9369178,17854236
153955,261549,430360,756364,1397470,2634709,5178993,9326644,19504972
150263,263868,454379,753614,1426359,2572063,4841249,9306987,17550206
148661,264011,426054,766329,1397868,2586120,4872770,9363988,17898185
152868,255034,432794,748711,1408808,2535974,4855808,9338823,19354351
151048,252575,429792,760495,1400187,2661586,4860028,9362677,17666400
149601,260498,451955,753148,1396774,2586576,4849893,9307324,17782448
152002,261469,434603,758366,1399009,2540231,4805478,9634075,19686058
151535,263392,435222,806606,1427924,2557997,4823173,9395176,17560410
154576,254174,497865,749373,1389484,2637728,4822502,9344997,17832024
150282,260428,423230,762370,1406426,2603297,4844189,9317108,19418736
151963,335624,439909,758869,1475018,2657662,4860909,9584808,17604419
153014,261551,430493,757719,1411210,2579903,4842677,9349504,17773667
158120,260568,441343,755944,1391349,2646642,4824993,9336140,19413476
219843,250211,434417,753950,1410262,2612504,4845611,9350061,17658822
158394,250592,431837,763299,1765188,2622817,4833077,9353340,17827314
155663,264736,433821,733826,1419298,2556897,4867246,9403093,19404283
154933,255583,428543,753560,1390936,2540979,4854862,9323382,17574979
150340,256717,425658,752438,1438985,2565693,4995830,9331925,17965733
152555,256801,429447,746547,1427077,2729013,4825876,9317160,19484632
150020,260453,431720,758517,1458970,2489329,4879254,9374128,17775739
154800,252618,441829,758029,1394418,2606135,4891921,9660493,17773054
150651,258652,425437,734071,1406901,2589859,4935588,9389119,19347650
147988,255413,441196,743415,1415586,2528892,4922909,9324753,17414896
147605,256631,434943,742046,1408246,2607898,4861507,9328458,17917794
156735,257116,433566,739797,1400686,2542735,4832351,9415198,19437154
153028,255764,440367,748237,1414154,2565531,5061501,9349553,17641505
154188,268151,431538,737659,1423303,2540997,4892082,9306643,17791413
151432,260105,445191,745258,1402549,2614651,4821362,9409725,19381945
157083,257252,424935,817806,1401170,2627946,4876967,9350741,17789330
