,x86 FX b16
531,1561097
532,1560363
533,1551985
534,1576255
535,1568368
536,1548085
537,1563191
538,1564056
539,1573898
540,1561541
541,1570719
542,1559078
543,1687143
544,1706050
545,1711022
546,1714489
547,1708632
548,1707309
549,1756258
550,1724572
551,1698706
552,1713828
553,1712920
554,1694859
555,1694211
556,1722548
557,1709386
558,1697790
559,1716411
560,1663624
561,1566944
562,1569588
563,1569364
564,1567668
565,1573704
566,1558028
567,1568551
568,1569209
569,1577498
570,1581432
571,1573080
572,1570707
573,1561574
574,1563931
575,1573830
576,1602251
577,1587854
578,1594283
579,1603513
580,1622444
581,1602798
582,1586039
583,1814905
584,1748543
585,1681495
586,1615223
587,1597450
588,1588623
589,1607822
590,1612069
591,1604206
592,1599215
593,1586350
594,1600799
595,1587223
596,1592643
597,1586952
598,1594944
599,1607063
600,1610460
601,1586582
602,1588569
603,1602371
604,1609061
605,1585169
606,1597454
607,1592302
608,1586588
609,1588727
610,1593596
611,1595629
612,1603442
613,1598624
614,1589521
615,1590198
616,1580066
617,1600396
618,1588956
619,1594904
620,1599878
621,1590121
622,1587490
623,1670681
624,1762876
625,1763153
626,1763075
627,1748223
628,1760186
629,1759881
630,1692668
631,1699620
632,1694410
633,1696795
634,1679737
635,1698242
636,1700632
637,1718328
638,1701877
639,1708075
640,1675762
641,1553002
642,1550563
643,1577626
644,1558167
645,1549340
646,1551326
647,1557922
648,1560884
649,1551335
650,1562725
651,1571071
652,1559168
653,1552923
654,1566308
655,1560573
656,1552184
657,1568582
658,1563702
659,1561620
660,1558152
661,1558542
662,1568428
663,1582232
664,1600189
665,1579901
666,1588445
667,1574616
668,1579897
669,1584845
670,1578802
671,1573992
672,1566355
673,1574263
674,1567562
675,1583879
676,1574624
677,1578102
678,1569850
679,1570021
680,1590661
681,1589446
682,1602257
683,1588182
684,1600538
685,1590432
686,1610716
687,1586973
688,1599752
689,1604530
690,1599996
691,1595004
692,1590712
693,1590705
694,1586703
695,1592895
696,1595260
697,1587966
698,1599203
699,1605608
700,1596087
701,1592685
702,1590383
703,1585106
704,1595749
705,1598991
706,1600491
707,1596477
708,1597153
709,1594899
710,1589332
711,1603178
712,1582477
713,1593969
714,1594003
715,1598336
716,1590111
717,1593328
718,1595631
719,1609792
720,1588225
721,1593632
722,1612233
723,1606811
724,1593837
725,1604027
726,1596028
727,1606378
728,1596495
729,1589408
730,1588598
731,1600766
732,1597889
733,1592290
734,1587959
735,1617983
736,1616062
737,1585430
738,1592969
739,1609265
740,1604967
741,1601530
742,1591062
743,1596283
744,1620621
745,1599327
746,1600126
747,1606932
748,1595403
749,1603875
750,1581903
751,1594206
752,1603729
753,1598995
754,1611180
755,1613744
756,1613222
757,1607628
758,1591000
759,1596189
760,1594370
761,1590442
762,1595690
763,1599242
764,1598345
765,1591927
766,1601030
767,1591471
768,1584606
769,1594246
770,1597662
771,1597619
772,1587941
773,1607617
774,1598927
775,1605188
776,1596992
777,1585508
778,1598588
779,1608855
780,1580060
781,1589118
782,1588893
783,1598154
784,1591974
785,1602520
786,1590755
787,1587925
788,1589107
789,1602451
790,1600601
791,1606489
792,1599534
793,1584343
794,1597317
795,1597587
796,1584138
797,1589942
798,1603500
799,1608754
800,1590098
801,1582400
802,1588682
803,1604533
804,1602072
805,1605102
806,1598670
807,1608470
808,1599945
809,1612432
810,1588146
811,1604437
812,1595223
813,1588564
814,1586928
815,1591682
816,1593227
817,1590124
818,1593686
819,1608016
820,1599384
821,1605050
822,1588090
823,1602538
824,1613435
825,1601752
826,1594043
827,1594371
828,1592783
829,1601857
830,1601166
831,1588543
832,1601315
833,1612661
834,1596604
835,1593796
836,1597217
837,1606950
838,1594727
839,1584910
840,1593878
841,1593567
842,1598241
843,1602317
844,1601099
845,1611292
846,1599645
847,1610147
848,1587250
849,1606869
850,1597641
851,1599197
852,1593293
853,1593881
854,1599745
855,1606135
856,1590678
857,1599369
858,1601597
859,1596383
860,1585321
861,1597442
862,1601598
863,1601067
864,1593305
865,1595531
866,1605247
867,1606834
868,1596910
869,1599009
870,1593695
871,1604779
872,1594673
873,1603615
874,1583327
875,1591039
876,1599488
877,1601950
878,1584242
879,1605177
880,1601081
881,1595583
882,1587637
883,1590213
884,1596546
885,1607592
886,1597330
887,1591673
888,1586759
889,1596270
890,1589383
891,1602716
892,1600406
893,1594348
894,1582537
895,1599135
896,1592523
897,1598412
898,1594531
899,1598399
900,1609774
901,1605778
902,1599643
903,1591218
904,1599650
905,1612354
906,1603470
907,1592489
908,1588236
909,1604335
910,1593735
911,1591555
912,1584734
913,1596948
914,1595575
915,1587454
916,1602001
917,1600066
918,1604128
919,1606027
920,1585485
921,1605582
922,1587716
923,1609702
924,1587838
925,1595789
926,1602434
927,1602220
928,1583413
929,1596927
930,1597322
931,1597939
932,1596965
933,1605246
934,1595655
935,1606703
936,1586607
937,1585283
938,1590448
939,1601577
940,1595226
941,1583298
942,1589948
943,1605038
944,1583728
945,1596836
946,1597407
947,1606802
948,1597825
949,1617729
950,1593908
951,1601581
952,1590593
953,1594327
954,1583697
955,1601627
956,1605196
957,1600471
958,1594115
959,1588492
960,1600895
961,1606180
962,1590865
963,1603525
964,1591399
965,1582811
966,1581828
967,1594482
968,1604517
969,1609782
970,1590346
971,1608839
972,1599844
973,1608183
974,1594239
975,1585094
976,1603402
977,1601215
978,1595419
979,1599398
980,1616670
981,1607016
982,1603371
983,1592337
984,1602975
985,1601196
986,1604419
987,1601461
988,1594702
989,1600081
990,1596058
991,1592847
992,1594792
993,1606104
994,1600567
995,1606732
996,1590824
997,1607772
998,1607751
999,1608308
